abalear	abaleable
abominar	abominable
aceptar	aceptable
acomodar	acomodable
agrupar	agrupable
ahorcar	ahorcable
alienar	alienable
amar	amable
ampliar	ampliable
anular	anulable
apreciar	apreciable
arbitrar	arbitrable
armar	armable
arrendar	arrendable
aumentar	aumentable
aunar	aunable
calcular	calculable
capitular	capitulable
censurar	censurable
codiciar	codiciable
codificar	codificable
coleccionar	coleccionable
combinar	combinable
conciliar	conciliable
conectar	conectable
congelar	congelable
conmemorar	conmemorable
conmensurar	conmensurable
contar	contable
contestar	contestable
conversar	conversable
cuantificar	cuantificable
curar	curable
degradar	degradable
demandar	demandable
denunciar	denunciable
derogar	derogable
desagradar	desagradable
desarmar	desarmable
deslizar	deslizable
durar	durable
elaborar	elaborable
envidia	envidiable
graduar	graduable
incinerar	incinerable
irritar	irritable
parcelar	parcelable
probar	probable
reparar	reparable
variar	variable
