alto	altísimo
amado	amadísimo
amplio	amplísimo
bravo	bravísimo
bueno	buenísimo
claro	clarísimo
contento	contentísimo
correcto	correctísimo
corto	cortísimo
culto	cultísimo
delgado	delgadísimo
difícil	dificilísimo
digno	dignísimo
docto	doctísimo
duro	durísimo
escaso	escasísimo
estrecho	estrechísimo
famoso	famosísimo
frecuente	frecuentísimo
fácil	facilísimo
fértil	fertilísimo
general	generalísimo
grato	gratísimo
intenso	intensísimo
largo	larguísimo
lejano	lejanísimo
lejos	lejísimos
lento	lentísimo
limitado	limitadísimo
malo	malísimo
mucho	muchísimo
pequeño	pequeñísimo
pobre	pobrísimo
popular	popularísimo
profundo	profundísimo
puro	purísimo
raro	rarísimo
rico	riquísimo
rápido	rapidísimo
sano	sanísimo
santo	santísimo
secreto	secretísimo
seguro	segurísimo
sereno	serenísimo
suave	suavísimo
triste	tristísimo
valeroso	valerosísimo
valioso	valiosísimo
viejo	viejísimo
útil	utilísimo
