accederemos	accederán
anunciaremos	anunciarán
asumiremos	asumirán
bailaremos	bailarán
beberemos	beberán
compraremos	comprarán
consolidaremos	consolidarán
controlaremos	controlarán
crearemos	crearán
creeremos	creerán
cuidaremos	cuidarán
dejaremos	dejarán
descargaremos	descargarán
designaremos	designarán
determinaremos	determinarán
encontraremos	encontrarán
esperaremos	esperarán
firmaremos	firmarán
garantizaremos	garantizarán
gestionaremos	gestionarán
haremos	harán
implicaremos	implicarán
incorporaremos	incorporarán
informaremos	informarán
invertiremos	invertirán
involucraremos	involucrarán
jugaremos	jugarán
leeremos	leerán
llamaremos	llamarán
lograremos	lograrán
mataremos	matarán
mediremos	medirán
mostraremos	mostrarán
organizaremos	organizarán
pagaremos	pagarán
pondremos	pondrán
prestaremos	prestarán
recibiremos	recibirán
reduciremos	reducirán
resolveremos	resolverán
revisaremos	revisarán
sabremos	sabrán
salvaremos	salvarán
seleccionaremos	seleccionarán
seremos	serán
soportaremos	soportarán
tocaremos	tocarán
venderemos	venderán
viajaremos	viajarán
visitaremos	visitarán
