abordar	abordaríais
acordar	acordaríais
actuar	actuaríais
aparecer	apareceríais
aprovechar	aprovecharíais
averiguar	averiguaríais
buscar	buscaríais
casar	casaríais
compartir	compartiríais
considerar	consideraríais
consistir	consistiríais
consolidar	consolidaríais
construir	construiríais
contener	contendríais
correr	correríais
creer	creeríais
cuidar	cuidaríais
desarrollar	desarrollaríais
descargar	descargaríais
desempeñar	desempeñaríais
elegir	elegiríais
encontrar	encontraríais
escuchar	escucharíais
estudiar	estudiaríais
evadir	evadiríais
explicar	explicaríais
facilitar	facilitaríais
fallar	fallaríais
firmar	firmaríais
formar	formaríais
guardar	guardaríais
implicar	implicaríais
imponer	impondríais
mencionar	mencionaríais
necesitar	necesitaríais
pasar	pasaríais
poder	podríais
presentar	presentaríais
representar	representaríais
robar	robaríais
salvar	salvaríais
satisfacer	satisfaríais
sentar	sentaríais
sobrevivir	sobreviviríais
sugerir	sugeriríais
tener	tendríais
tomar	tomaríais
utilizar	utilizaríais
vivir	viviríais
volar	volaríais
