acceder	accedieron
acordar	acordaron
ampliar	ampliaron
aplicar	aplicaron
aprobar	aprobaron
combatir	combatieron
compartir	compartieron
confirmar	confirmaron
conocer	conocieron
cuidar	cuidaron
dejar	dejaron
descargar	descargaron
designar	designaron
destacar	destacaron
disfrutar	disfrutaron
dormir	durmieron
evitar	evitaron
expresar	expresaron
formular	formularon
ganar	ganaron
invertir	invirtieron
ir	fueron
limpiar	limpiaron
llegar	llegaron
lograr	lograron
modificar	modificaron
morir	murieron
necesitar	necesitaron
ofrecer	ofrecieron
operar	operaron
pagar	pagaron
partir	partieron
poder	pudieron
preguntar	preguntaron
promocionar	promocionaron
proponer	propusieron
proporcionar	proporcionaron
realizar	realizaron
recibir	recibieron
robar	robaron
sacar	sacaron
servir	sirvieron
solicitar	solicitaron
trabajar	trabajaron
utilizar	utilizaron
vender	vendieron
venir	vinieron
ver	vieron
viajar	viajaron
visitar	visitaron
