acordamos	acordarán
administramos	administrarán
alcanzamos	alcanzarán
animamos	animarán
aparecemos	aparecerán
aprovechamos	aprovecharán
atraemos	atraerán
ayudamos	ayudarán
buscamos	buscarán
casamos	casarán
causamos	causarán
comprendemos	comprenderán
consideramos	considerarán
construimos	construirán
contenemos	contendrán
contribuimos	contribuirán
convertimos	convertirán
coordinamos	coordinarán
crecemos	crecerán
destacamos	destacarán
destruimos	destruirán
detenemos	detendrán
dirigimos	dirigirán
ejecutamos	ejecutarán
elegimos	elegirán
entendemos	entenderán
esperamos	esperarán
establecemos	establecerán
exploramos	explorarán
formulamos	formularán
fortalecemos	fortalecerán
gestionamos	gestionarán
incorporamos	incorporarán
introducimos	introducirán
jugamos	jugarán
llamamos	llamarán
luchamos	lucharán
miramos	mirarán
necesitamos	necesitarán
organizamos	organizarán
parecemos	parecerán
presentamos	presentarán
preservamos	preservarán
protegemos	protegerán
respetamos	respetarán
rompemos	romperán
sabemos	sabrán
supervisamos	supervisarán
vemos	verán
verificamos	verificarán
