abordo	abordarían
alcanzo	alcanzarían
aprendo	aprenderían
busco	buscarían
causo	causarían
comienzo	comenzarían
compro	comprarían
consigo	conseguirían
consisto	consistirían
consolido	consolidarían
controlo	controlarían
crezco	crecerían
desarrollo	desarrollarían
detengo	detendrían
determino	determinarían
enseño	enseñarían
escapo	escaparían
fallo	fallarían
financio	financiarían
firmo	firmarían
hablo	hablarían
identifico	identificarían
impido	impedirían
informo	informarían
introduzco	introducirían
invierto	invertirían
ofrezco	ofrecerían
olvido	olvidarían
pago	pagarían
paro	pararían
pido	pedirían
permanezco	permanecerían
permito	permitirían
pregunto	preguntarían
preparo	prepararían
prevengo	prevendrían
promociono	promocionarían
proporciono	proporcionarían
protejo	protegerían
recojo	recogerían
reconozco	reconocerían
recuerdo	recordarían
respeto	respetarían
sufro	sufrirían
tomo	tomarían
veo	verían
viajo	viajarían
vivo	vivirían
vuelvo	volverían
voto	votarían
