abandono	abandonan
abordo	abordan
accedo	acceden
analizo	analizan
apruebo	aprueban
ayudo	ayudan
bailo	bailan
cambio	cambian
camino	caminan
causo	causan
comprendo	comprenden
concluyo	concluyen
confirmo	confirman
contengo	contienen
cuido	cuidan
demuestro	demuestran
detengo	detienen
elaboro	elaboran
estudio	estudian
evado	evaden
explico	explican
exploro	exploran
facilito	facilitan
formulo	formulan
funciono	funcionan
garantizo	garantizan
gestiono	gestionan
hago	hacen
incremento	incrementan
indico	indican
introduzco	introducen
muero	mueren
ofrezco	ofrecen
pago	pagan
pienso	piensan
presto	prestan
produzco	producen
proveo	proveen
quedo	quedan
recibo	reciben
refiero	refieren
respeto	respetan
salgo	salen
salvo	salvan
siento	sienten
soy	son
señalo	señalan
termino	terminan
toco	tocan
veo	ven
