abandonáis	abandonó
aceptáis	aceptó
administráis	administró
agradecéis	agradeció
cerráis	cerró
comenzáis	comenzó
coméis	comió
creáis	creó
decís	dijo
defendéis	defendió
demostráis	demostró
designáis	designó
dirigís	dirigió
ejercéis	ejerció
elegís	eligió
elimináis	eliminó
empezáis	empezó
escucháis	escuchó
estáis	estuvo
evaluáis	evaluó
exploráis	exploró
funcionáis	funcionó
gastáis	gastó
generáis	generó
hacéis	hizo
impedís	impidió
implicáis	implicó
iniciáis	inició
lloráis	lloró
matáis	mató
medís	midió
morís	murió
olvidáis	olvidó
organizáis	organizó
oís	oyó
perdéis	perdió
promovéis	promovió
publicáis	publicó
quedáis	quedó
recordáis	recordó
referís	refirió
respetáis	respetó
sacáis	sacó
sois	fue
servís	sirvió
tratáis	trató
utilizáis	utilizó
verificáis	verificó
voláis	voló
volvéis	volvió
