aborda	abordarían
accede	accederían
acepta	aceptarían
acuerda	acordarían
alcanza	alcanzarían
amplía	ampliarían
analiza	analizarían
anuncia	anunciarían
aprovecha	aprovecharían
combate	combatirían
completa	completarían
confirma	confirmarían
controla	controlarían
coopera	cooperarían
crea	crearían
crece	crecerían
cree	creerían
descubre	descubrirían
detiene	detendrían
determina	determinarían
dirige	dirigirían
elabora	elaborarían
escucha	escucharían
espera	esperarían
evade	evadirían
existe	existirían
forma	formarían
ha	habrían
hace	harían
incrementa	incrementarían
juega	jugarían
llama	llamarían
llega	llegarían
localiza	localizarían
mueve	moverían
para	pararían
parece	parecerían
parte	partirían
previene	prevendrían
produce	producirían
protege	protegerían
refiere	referirían
requiere	requerirían
saca	sacarían
salva	salvarían
sobrevive	sobrevivirían
supervisa	supervisarían
trae	traerían
viene	vendrían
vive	vivirían
