actuabais	actuaban
adoptabais	adoptaban
adquiríais	adquirían
alcanzabais	alcanzaban
alentabais	alentaban
animabais	animaban
aparecíais	aparecían
aprendíais	aprendían
bailabais	bailaban
buscabais	buscaban
caíais	caían
caminabais	caminaban
comíais	comían
compartíais	compartían
completabais	completaban
comprobabais	comprobaban
considerabais	consideraban
consolidabais	consolidaban
conteníais	contenían
corríais	corrían
cortabais	cortaban
decidíais	decidían
demostrabais	demostraban
descubríais	descubrían
desempeñabais	desempeñaban
dirigíais	dirigían
eliminabais	eliminaban
enseñabais	enseñaban
explorabais	exploraban
formabais	formaban
fortalecíais	fortalecían
impedíais	impedían
incorporabais	incorporaban
llegabais	llegaban
localizabais	localizaban
manteníais	mantenían
modificabais	modificaban
oíais	oían
pagabais	pagaban
parabais	paraban
podíais	podían
prestabais	prestaban
preveníais	prevenían
recibíais	recibían
recogíais	recogían
satisfacíais	satisfacían
seguíais	seguían
tocabais	tocaban
tratabais	trataban
votabais	votaban
