abrían	abrieron
aceptaban	aceptaron
anunciaban	anunciaron
aparecían	aparecieron
asistían	asistieron
atendían	atendieron
caían	cayeron
cantaban	cantaron
celebraban	celebraron
compartían	compartieron
comprendían	comprendieron
comprobaban	comprobaron
conseguían	consiguieron
construían	construyeron
creían	creyeron
decían	dijeron
definían	definieron
desarrollaban	desarrollaron
designaban	designaron
detenían	detuvieron
determinaban	determinaron
dirigían	dirigieron
entraban	entraron
escribían	escribieron
escuchaban	escucharon
evitaban	evitaron
formaban	formaron
funcionaban	funcionaron
guardaban	guardaron
hacían	hicieron
identificaban	identificaron
implicaban	implicaron
integraban	integraron
intentaban	intentaron
investigaban	investigaron
jugaban	jugaron
lograban	lograron
ocurrían	ocurrieron
organizaban	organizaron
pedían	pidieron
podían	pudieron
prestaban	prestaron
proporcionaban	proporcionaron
proveían	proveyeron
salvaban	salvaron
solicitaban	solicitaron
supervisaban	supervisaron
tenían	tuvieron
terminaban	terminaron
veían	vieron
