abandonaba	abandoné
abría	abrí
acordaba	acordé
ampliaba	amplié
analizaba	analicé
animaba	animé
anunciaba	anuncié
aparecía	aparecí
atendía	atendí
atraía	atraje
concluía	concluí
conducía	conduje
conservaba	conservé
contaba	conté
corría	corrí
cubría	cubrí
daba	di
defendía	defendí
demostraba	demostré
describía	describí
descubría	descubrí
desempeñaba	desempeñé
destacaba	destaqué
detenía	detuve
eliminaba	eliminé
enseñaba	enseñé
entendía	entendí
entraba	entré
escuchaba	escuché
garantizaba	garanticé
mantenía	mantuve
modificaba	modifiqué
observaba	observé
organizaba	organicé
parecía	parecí
pasaba	pasé
pedía	pedí
permanecía	permanecí
preparaba	preparé
promocionaba	promocioné
proponía	propuse
protegía	protegí
realizaba	realicé
recogía	recogí
reconocía	reconocí
reemplazaba	reemplacé
sabía	supe
unía	uní
verificaba	verifiqué
volvía	volví
