abreviar	abreviación
acetificar	acetificación
aclimatar	aclimatación
acordar	acordación
acriminar	acriminación
aculturar	aculturación
acuñar	acuñación
adivinar	adivinación
adjetivar	adjetivación
adsorber	adsorción
adverar	adveración
afeminar	afeminación
afijo	afijación
afiliar	afiliación
afinar	afinación
afrontar	afrontación
agilizar	agilización
aglomerar	aglomeración
agremiar	agremiación
agrupar	agrupación
agudizar	agudización
alcalificar	alcalificación
alcalinizar	alcalinización
alcalizar	alcalización
amalgamar	amalgamación
ambular	ambulación
americanizar	americanización
amonestar	amonestación
ampliar	ampliación
anihilar	anihilación
aniquilar	aniquilación
anular	anulación
aplacar	aplacación
apostemar	apostemación
aprobar	aprobación
aproximar	aproximación
arrugar	arrugación
asibilar	asibilación
asolar	asolación
autofinanciar	autofinanciación
autorizar	autorización
avaluar	avaluación
bonificar	bonificación
calibrar	calibración
cándido	candidación
caramelizar	caramelización
carbonizar	carbonización
carburar	carburación
categorizar	categorización
catequizar	catequización
certificar	certificación
clonar	clonación
codificar	codificación
colicuar	colicuación
compactar	compactación
compartimentar	compartimentación
compulsar	compulsación
concentrar	concentración
conceptuar	conceptuación
connotar	connotación
conservar	conservación
consternar	consternación
convencionalizar	convencionalización
corroborar	corroboración
cotizar	cotización
cuantizar	cuantización
cultivar	cultivación
culturizar	culturización
datar	datación
deliberar2 ("liberar")	deliberación
depreciar	depreciación
derogar	derogación
desalar	desalación
desalinear	desalineación
desanimar	desanimación
desaparecer	desaparición
desaplicar	desaplicación
desapropiar	desapropiación
desarticular	desarticulación
descarburar	descarburación
descatolizar	descatolización
descentralizar	descentralización
descongelar	descongelación
desentonar	desentonación
desertizar	desertización
desestabilizar	desestabilización
desestimar	desestimación
desfigurar	desfiguración
desgravar	desgravación
desheredar	desheredación
deshidratar	deshidratación
deshumanizar	deshumanización
desimanar	desimanación
desnutrir	desnutrición
desorganizar	desorganización
desvalorizar	desvalorización
desvincular	desvinculación
determinar	determinación
detonar	detonación
deturpar	deturpación
devaluar	devaluación
digitalizar	digitalización
dignificar	dignificación
diptongo	diptongación
disminuir	disminución
distribuir	distribución
embutir	embutición
enajenar	enajenación
enarenar	enarenación
encadenar	encadenación
encantar	encantación
encarcelar	encarcelación
ensoñar	ensoñación
entablar	entablación
entibar	entibación
escenificar	escenificación
escolarizar	escolarización
escoriar	escoriación
esfumar	esfumación
españolizar	españolización
especificar	especificación
evacuar	evacuación
evaluar	evaluación
evangelizar	evangelización
excarcelar	excarcelación
excoriar	excoriación
explotar	explotación
explotar	explotación
explotar	explotación
explotar	explotación
fatigar	fatigación
fecundar	fecundación
fecundizar	fecundización
fertilizar	fertilización
filmar	filmación
financiar	financiación
formalizar	formalización
fricativo	fricativización
fulgurar	fulguración
galvanizar	galvanización
geminar	geminación
gentrificar	gentrificación
germinar	germinación
graduar	graduación
habilitar	habilitación
helenizar	helenización
heroificar	heroificación
heroizar	heroización
hidratar	hidratación
hitar	hitación
humectar	humectación
identificar	identificación
igualar	igualación
imantar	imantación
importar	importación
impregnar	impregnación
incapacitar	incapacitación
incardinar	incardinación
incautar	incautación
incensar	incensación
incinerar	incineración
incitar	incitación
informatizar	informatización
infrautilizar	infrautilización
infravalorar	infravaloración
inhabilitar	inhabilitación
inmigrar	inmigración
involucrar	involucración
islamizar	islamización
labializar	labialización
laicizar	laicización
lapidificar	lapidificación
legnificar	legnificación
lenizar	lenición
lentificar	lentificación
lexicalizar	lexicalización
ligar	ligación
ludificar	ludificación
malversar	malversación
maquinizar	maquinización
marginar	marginación
marginalizar	marginalización
medicar	medicación
modernizar	modernización
mojonar	mojonación
monoptongo	monoptongación
moralizar	moralización
mordicar	mordicación
nacionalizar	nacionalización
nasalizar	nasalización
neutralizar	neutralización
nominalizar	nominalización
opilar	opilación
oponer	oposición
óvulo (del	ovulación
oxidar	oxidación
pacificar	pacificación
palatalizar	palatalización
peregrinar	peregrinación
perennizar	perennización
personalizar	personalización
personificar	personificación
podsolizar	podsolización
podzolizar	podzolización
posterizar	posterización
preconizar	preconización
predefinir	predefinición
predeterminar	predeterminación
predominar	predominación
prefijo	prefijación
pregustar	pregustación
programa	programación
proletarizar	proletarización
prolongar	prolongación
puntuar	puntuación
quimificar	quimificación
racionalizar	racionalización
ralentizar	ralentización
rasurar	rasuración
ratificar	ratificación
reactivar	reactivación
reagrupar	reagrupación
recompensa	recompensación
	reelección
	reencuadernación
refrendar	refrendación
reincorporar	reincorporación
remedir	remedición
reportar	reportación
repudiar	repudiación
retardar	retardación
	retasación
retener	retención
	retroalimentación
retrovender	retrovendición
retrovender	retroventa
revaluar	revaluación
revelar	revelación
romanizar	romanización
rotular	rotulación
sacralizar	sacralización
salificar	salificación
sanar	sanación
saponificar	saponificación
secuencia	secuenciación
sedentarizar	sedentarización
severizar	severización
silabar (del	silabación
sindicar	sindicación
sinterizar	sinterización
sintonizar	sintonización
sobreestimar	sobreestimación
sobrestimar	sobrestimación
sonorizar	sonorización
sovietizar	sovietización
suavizar	suavización
subestimar	subestimación
substantivar	substantivación
sufijo	sufijación
sustantivar	sustantivación
tabular	tabulación
tarifar	tarifación
tarificar	tarificación
tonificar	tonificación
tramitar	tramitación
transformar	transformación
transfundir	transfundición
trasformar	trasformación
trasfundir	trasfundición
trastornar	trastornación
trepanar	trepanación
tripartir	tripartición
triturar	trituración
tumor	tumoración
turistificar	turistificación
ubicar	ubicación
unificar	unificación
urbanizar	urbanización
valorar	valoración
valorizar	valorización
valuar	valuación
velarizar	velarización
verbo	verbalización
violar	violación
vulnerar	vulneración
