abandonaremos	abandonaría
aceptaremos	aceptaría
analizaremos	analizaría
animaremos	animaría
aprobaremos	aprobaría
beberemos	bebería
caminaremos	caminaría
celebraremos	celebraría
conduciremos	conduciría
confirmaremos	confirmaría
conseguiremos	conseguiría
conservaremos	conservaría
creceremos	crecería
cubriremos	cubriría
cuidaremos	cuidaría
dejaremos	dejaría
destacaremos	destacaría
detendremos	detendría
discutiremos	discutiría
dormiremos	dormiría
esperaremos	esperaría
estudiaremos	estudiaría
evaluaremos	evaluaría
existiremos	existiría
exploraremos	exploraría
formaremos	formaría
ganaremos	ganaría
guardaremos	guardaría
hablaremos	hablaría
imaginaremos	imaginaría
introduciremos	introduciría
invertiremos	invertiría
llevaremos	llevaría
localizaremos	localizaría
moriremos	moriría
prepararemos	prepararía
presentaremos	presentaría
promocionaremos	promocionaría
protegeremos	protegería
proveeremos	proveería
reconoceremos	reconocería
reforzaremos	reforzaría
sentiremos	sentiría
seremos	sería
solicitaremos	solicitaría
sugeriremos	sugeriría
superaremos	superaría
traeremos	traería
verificaremos	verificaría
viajaremos	viajaría
