acelerarán	acelerarían
actuarán	actuarían
administrarán	administrarían
adoptarán	adoptarían
adquirirán	adquirirían
aparecerán	aparecerían
aplicarán	aplicarían
buscarán	buscarían
caerán	caerían
caminarán	caminarían
cantarán	cantarían
cerrarán	cerrarían
comenzarán	comenzarían
compartirán	compartirían
confiarán	confiarían
considerarán	considerarían
contendrán	contendrían
continuarán	continuarían
creerán	creerían
dirán	dirían
descargarán	descargarían
designarán	designarían
ejecutarán	ejecutarían
ejercerán	ejercerían
encontrarán	encontrarían
enseñarán	enseñarían
escaparán	escaparían
escribirán	escribirían
esperarán	esperarían
explicarán	explicarían
explorarán	explorarían
facilitarán	facilitarían
habilitarán	habilitarían
impedirán	impedirían
integrarán	integrarían
llamarán	llamarían
ofrecerán	ofrecerían
olvidarán	olvidarían
participarán	participarían
partirán	partirían
perderán	perderían
permanecerán	permanecerían
promoverán	promoverían
publicarán	publicarían
recordarán	recordarían
reemplazarán	reemplazarían
señalarán	señalarían
solicitarán	solicitarían
sufrirán	sufrirían
volarán	volarían
