abordar	abordan
acceder	acceden
aceptar	aceptan
adquirir	adquieren
animar	animan
aprobar	aprueban
aumentar	aumentan
ayudar	ayudan
añadir	añaden
beber	beben
confiar	confían
conseguir	consiguen
contener	contienen
dar	dan
desempeñar	desempeñan
designar	designan
enseñar	enseñan
entender	entienden
enviar	envían
escribir	escriben
evaluar	evalúan
incorporar	incorporan
instalar	instalan
involucrar	involucran
leer	leen
limitar	limitan
limpiar	limpian
lograr	logran
luchar	luchan
manejar	manejan
matar	matan
medir	miden
necesitar	necesitan
operar	operan
partir	parten
permitir	permiten
poner	ponen
preguntar	preguntan
preservar	preservan
reemplazar	reemplazan
reforzar	refuerzan
requerir	requieren
saber	saben
ser	son
sobrevivir	sobreviven
soportar	soportan
sumar	suman
traer	traen
visitar	visitan
volar	vuelan
