adopto	adoptaréis
adquiero	adquiriréis
aprovecho	aprovecharéis
atraigo	atraeréis
ayudo	ayudaréis
bebo	beberéis
causo	causaréis
combato	combatiréis
completo	completaréis
comprendo	comprenderéis
compruebo	comprobaréis
confirmo	confirmaréis
considero	consideraréis
controlo	controlaréis
convierto	convertiréis
crezco	creceréis
cubro	cubriréis
cuido	cuidaréis
demuestro	demostraréis
entiendo	entenderéis
escribo	escribiréis
evalúo	evaluaréis
hago	haréis
impongo	impondréis
incorporo	incorporaréis
incremento	incrementaréis
inicio	iniciaréis
instalo	instalaréis
involucro	involucraréis
leo	leeréis
mido	mediréis
miro	miraréis
modifico	modificaréis
necesito	necesitaréis
pago	pagaréis
parto	partiréis
pido	pediréis
permito	permitiréis
presto	prestaréis
proporciono	proporcionaréis
recibo	recibiréis
regreso	regresaréis
represento	representaréis
requiero	requeriréis
robo	robaréis
salgo	saldréis
salvo	salvaréis
satisfago	satisfaréis
señalo	señalaréis
verifico	verificaréis
