alcanzo	alcanzó
amplío	amplió
atraigo	atrajo
bailo	bailó
bebo	bebió
cambio	cambió
causo	causó
celebro	celebró
cierro	cerró
completo	completó
confirmo	confirmó
consolido	consolidó
corto	cortó
creo	creó
cuido	cuidó
demuestro	demostró
describo	describió
descubro	descubrió
destaco	destacó
determino	determinó
entiendo	entendió
estoy	estuvo
evado	evadió
evalúo	evaluó
exploro	exploró
genero	generó
gestiono	gestionó
habilito	habilitó
informo	informó
instalo	instaló
juego	jugó
llamo	llamó
manejo	manejó
muero	murió
ofrezco	ofreció
participo	participó
permanezco	permaneció
pregunto	preguntó
promuevo	promovió
realizo	realizó
recibo	recibió
reduzco	redujo
respondo	respondió
reviso	revisó
saco	sacó
supero	superó
tengo	tuvo
toco	tocó
trabajo	trabajó
trato	trató
