abro	abría
aplico	aplicaba
aprovecho	aprovechaba
asisto	asistía
avanzo	avanzaba
bailo	bailaba
busco	buscaba
cambio	cambiaba
camino	caminaba
construyo	construía
consulto	consultaba
continúo	continuaba
coordino	coordinaba
creo	creaba
cubro	cubría
cuido	cuidaba
defiendo	defendía
dirijo	dirigía
ejerzo	ejercía
entiendo	entendía
escapo	escapaba
escribo	escribía
estudio	estudiaba
evito	evitaba
examino	examinaba
fallo	fallaba
he	había
identifico	identificaba
impongo	imponía
invierto	invertía
involucro	involucraba
limito	limitaba
lucho	luchaba
muero	moría
muevo	movía
preparo	preparaba
presento	presentaba
preservo	preservaba
pruebo	probaba
promuevo	promovía
reconozco	reconocía
reduzco	reducía
refiero	refería
respondo	respondía
salvo	salvaba
sirvo	servía
sobrevivo	sobrevivía
sugiero	sugería
supero	superaba
tengo	tenía
