aceleran	aceleramos
aceptan	aceptamos
administran	administramos
aprueban	aprobamos
aprovechan	aprovechamos
asumen	asumimos
aumentan	aumentamos
ayudan	ayudamos
bailan	bailamos
cambian	cambiamos
caminan	caminamos
casan	casamos
concluyen	concluimos
confirman	confirmamos
conservan	conservamos
consolidan	consolidamos
dicen	dijimos
desarrollan	desarrollamos
ejecutan	ejecutamos
envían	enviamos
escriben	escribimos
evaden	evadimos
expresan	expresamos
facilitan	facilitamos
habilitan	habilitamos
incrementan	incrementamos
introducen	introdujimos
leen	leímos
limitan	limitamos
limpian	limpiamos
logran	logramos
miran	miramos
muestran	mostramos
mueven	movimos
oyen	oímos
pagan	pagamos
piden	pedimos
pueden	pudimos
presentan	presentamos
proveen	proveímos
quedan	quedamos
reemplazan	reemplazamos
regresan	regresamos
respetan	respetamos
señalan	señalamos
sugieren	sugerimos
suman	sumamos
tocan	tocamos
toman	tomamos
viajan	viajamos
