accedéis	accedería
acordáis	acordaría
adquirís	adquiriría
alcanzáis	alcanzaría
aparecéis	aparecería
apoyáis	apoyaría
aprovecháis	aprovecharía
avanzáis	avanzaría
bailáis	bailaría
bebéis	bebería
cambiáis	cambiaría
casáis	casaría
celebráis	celebraría
comenzáis	comenzaría
confiáis	confiaría
conocéis	conocería
consolidáis	consolidaría
controláis	controlaría
cortáis	cortaría
crecéis	crecería
decidís	decidiría
defendéis	defendería
detenéis	detendría
elimináis	eliminaría
escapáis	escaparía
establecéis	establecería
falláis	fallaría
financiáis	financiaría
formuláis	formularía
impedís	impediría
integráis	integraría
limpiáis	limpiaría
llegáis	llegaría
matáis	mataría
mencionáis	mencionaría
morís	moriría
necesitáis	necesitaría
ocurrís	ocurriría
pedís	pediría
perdéis	perdería
permitís	permitiría
preserváis	preservaría
protegéis	protegería
regresáis	regresaría
respetáis	respetaría
revisáis	revisaría
robáis	robaría
sobrevivís	sobreviviría
vivís	viviría
votáis	votaría
