abordáis	abordaban
aceleráis	aceleraban
administráis	administraban
aprendéis	aprendían
aprovecháis	aprovechaban
asistís	asistían
ayudáis	ayudaban
compráis	compraban
conducís	conducían
continuáis	continuaban
controláis	controlaban
cumplís	cumplían
descubrís	descubrían
destruís	destruían
determináis	determinaban
dormís	dormían
ejercéis	ejercían
enviáis	enviaban
escucháis	escuchaban
expresáis	expresaban
formáis	formaban
garantizáis	garantizaban
generáis	generaban
identificáis	identificaban
imponéis	imponían
incluís	incluían
indicáis	indicaban
introducís	introducían
investigáis	investigaban
limitáis	limitaban
limpiáis	limpiaban
lleváis	llevaban
medís	medían
operáis	operaban
organizáis	organizaban
oís	oían
pensáis	pensaban
podéis	podían
protegéis	protegían
proveéis	proveían
recibís	recibían
reforzáis	reforzaban
representáis	representaban
respetáis	respetaban
soportáis	soportaban
tenéis	tenían
utilizáis	utilizaban
vendéis	vendían
venís	venían
visitáis	visitaban
