adoptas/adoptás	adoptarían
apareces/aparecés	aparecerían
apoyas/apoyás	apoyarían
aprendes/aprendés	aprenderían
atraes/atraés	atraerían
ayudas/ayudás	ayudarían
añades/añadís	añadirían
cambias/cambiás	cambiarían
comienzas/comenzás	comenzarían
conservas/conservás	conservarían
consistes/consistís	consistirían
contienes/contenés	contendrían
coordinas/coordinás	coordinarían
defiendes/defendés	defenderían
desempeñas/desempeñás	desempeñarían
determinas/determinás	determinarían
diriges/dirigís	dirigirían
discutes/discutís	discutirían
ejecutas/ejecutás	ejecutarían
empiezas/empezás	empezarían
escribes/escribís	escribirían
evitas/evitás	evitarían
imaginas/imaginás	imaginarían
inicias/iniciás	iniciarían
introduces/introducís	introducirían
llegas/llegás	llegarían
lloras/llorás	llorarían
logras/lográs	lograrían
mejoras/mejorás	mejorarían
pagas/pagás	pagarían
pasas/pasás	pasarían
piensas/pensás	pensarían
presentas/presentás	presentarían
preservas/preservás	preservarían
previenes/prevenís	prevendrían
promocionas/promocionás	promocionarían
publicas/publicás	publicarían
reduces/reducís	reducirían
reemplazas/reemplazás	reemplazarían
representas/representás	representarían
requieres/requerís	requerirían
robas/robás	robarían
sales/salís	saldrían
salvas/salvás	salvarían
eres/sos	serían
señalas/señalás	señalarían
solicitas/solicitás	solicitarían
sufres/sufrís	sufrirían
vuelves/volvés	volverían
votas/votás	votarían
