abandonas/abandonás	abandonaremos
adquieres/adquirís	adquiriremos
aplicas/aplicás	aplicaremos
apoyas/apoyás	apoyaremos
caminas/caminás	caminaremos
comes/comés	comeremos
controlas/controlás	controlaremos
crees/creés	creeremos
defines/definís	definiremos
describes/describís	describiremos
destruyes/destruís	destruiremos
detienes/detenés	detendremos
ejecutas/ejecutás	ejecutaremos
entras/entrás	entraremos
envías/enviás	enviaremos
esperas/esperás	esperaremos
ganas/ganás	ganaremos
garantizas/garantizás	garantizaremos
gestionas/gestionás	gestionaremos
has	habremos
haces/hacés	haremos
identificas/identificás	identificaremos
indicas/indicás	indicaremos
inviertes/invertís	invertiremos
investigas/investigás	investigaremos
vas	iremos
lloras/llorás	lloraremos
mencionas/mencionás	mencionaremos
miras/mirás	miraremos
modificas/modificás	modificaremos
observas/observás	observaremos
pides/pedís	pediremos
piensas/pensás	pensaremos
permaneces/permanecés	permaneceremos
preguntas/preguntás	preguntaremos
prestas/prestás	prestaremos
publicas/publicás	publicaremos
recuperas/recuperás	recuperaremos
resuelves/resolvés	resolveremos
rompes/rompés	romperemos
seleccionas/seleccionás	seleccionaremos
soportas/soportás	soportaremos
sumas/sumás	sumaremos
terminas/terminás	terminaremos
tomas/tomás	tomaremos
unes/unís	uniremos
vendes/vendés	venderemos
ves	veremos
viajas/viajás	viajaremos
vuelves/volvés	volveremos
