abandonas/abandonás	abandonarán
actúas/actuás	actuarán
anuncias/anunciás	anunciarán
aplicas/aplicás	aplicarán
apoyas/apoyás	apoyarán
buscas/buscás	buscarán
caes/caés	caerán
celebras/celebrás	celebrarán
comienzas/comenzás	comenzarán
compartes/compartís	compartirán
conservas/conservás	conservarán
contribuyes/contribuís	contribuirán
coordinas/coordinás	coordinarán
cortas/cortás	cortarán
dices/decís	dirán
descubres/descubrís	descubrirán
destacas/destacás	destacarán
duermes/dormís	dormirán
encuentras/encontrás	encontrarán
enfrentas/enfrentás	enfrentarán
evalúas/evaluás	evaluarán
evitas/evitás	evitarán
existes/existís	existirán
fallas/fallás	fallarán
gestionas/gestionás	gestionarán
guardas/guardás	guardarán
impides/impedís	impedirán
incrementas/incrementás	incrementarán
inviertes/invertís	invertirán
llamas/llamás	llamarán
llegas/llegás	llegarán
lloras/llorás	llorarán
mueres/morís	morirán
observas/observás	observarán
ocurres/ocurrís	ocurrirán
pasas/pasás	pasarán
pides/pedís	pedirán
propones/proponés	propondrán
proporcionas/proporcionás	proporcionarán
refuerzas/reforzás	reforzarán
representas/representás	representarán
rompes/rompés	romperán
señalas/señalás	señalarán
sugieres/sugerís	sugerirán
tienes/tenés	tendrán
tomas/tomás	tomarán
vendes/vendés	venderán
visitas/visitás	visitarán
vives/vivís	vivirán
votas/votás	votarán
