aceptas/aceptás	acepté
alcanzas/alcanzás	alcancé
apoyas/apoyás	apoyé
aprendes/aprendés	aprendí
asistes/asistís	asistí
atiendes/atendés	atendí
averiguas/averiguás	averigüé
celebras/celebrás	celebré
combates/combatís	combatí
compartes/compartís	compartí
completas/completás	completé
compras/comprás	compré
concluyes/concluís	concluí
consistes/consistís	consistí
cuentas/contás	conté
contienes/contenés	contuve
continúas/continuás	continué
controlas/controlás	controlé
coordinas/coordinás	coordiné
cuidas/cuidás	cuidé
dependes/dependés	dependí
desarrollas/desarrollás	desarrollé
describes/describís	describí
designas/designás	designé
diriges/dirigís	dirigí
disfrutas/disfrutás	disfruté
encuentras/encontrás	encontré
enfrentas/enfrentás	enfrenté
entiendes/entendés	entendí
expresas/expresás	expresé
financias/financiás	financié
incorporas/incorporás	incorporé
incrementas/incrementás	incrementé
involucras/involucrás	involucré
juegas/jugás	jugué
llegas/llegás	llegué
lloras/llorás	lloré
mencionas/mencionás	mencioné
mueres/morís	morí
necesitas/necesitás	necesité
ocurres/ocurrís	ocurrí
pagas/pagás	pagué
pareces/parecés	parecí
participas/participás	participé
preguntas/preguntás	pregunté
proteges/protegés	protegí
requieres/requerís	requerí
rompes/rompés	rompí
terminas/terminás	terminé
usas/usás	usé
