abres/abrís	abrían
alcanzas/alcanzás	alcanzaban
aplicas/aplicás	aplicaban
apoyas/apoyás	apoyaban
atraes/atraés	atraían
aumentas/aumentás	aumentaban
buscas/buscás	buscaban
caes/caés	caían
cambias/cambiás	cambiaban
causas/causás	causaban
cierras/cerrás	cerraban
conduces/conducís	conducían
cuentas/contás	contaban
coordinas/coordinás	coordinaban
corres/corrés	corrían
cumples/cumplís	cumplían
defiendes/defendés	defendían
desarrollas/desarrollás	desarrollaban
discutes/discutís	discutían
disfrutas/disfrutás	disfrutaban
elaboras/elaborás	elaboraban
eliges/elegís	elegían
escribes/escribís	escribían
firmas/firmás	firmaban
fortaleces/fortalecés	fortalecían
guardas/guardás	guardaban
hablas/hablás	hablaban
incrementas/incrementás	incrementaban
instalas/instalás	instalaban
inviertes/invertís	invertían
juegas/jugás	jugaban
limitas/limitás	limitaban
mides/medís	medían
muestras/mostrás	mostraban
mueves/movés	movían
paras/parás	paraban
partes/partís	partían
pasas/pasás	pasaban
pides/pedís	pedían
preservas/preservás	preservaban
produces/producís	producían
recuerdas/recordás	recordaban
requieres/requerís	requerían
respetas/respetás	respetaban
revisas/revisás	revisaban
sales/salís	salían
sigues/seguís	seguían
seleccionas/seleccionás	seleccionaban
trabajas/trabajás	trabajaban
viajas/viajás	viajaban
