acepta	aceptarás
acuerda	acordarás
alcanza	alcanzarás
anima	animarás
apoya	apoyarás
asegura	asegurarás
asiste	asistirás
asume	asumirás
busca	buscarás
cambia	cambiarás
conoce	conocerás
consiste	consistirás
consolida	consolidarás
contiene	contendrás
convierte	convertirás
cubre	cubrirás
demuestra	demostrarás
descubre	descubrirás
detiene	detendrás
escribe	escribirás
evalúa	evaluarás
existe	existirás
financia	financiarás
firma	firmarás
gasta	gastarás
ha(impersonal:hay)	habrás
habla	hablarás
juega	jugarás
lee	leerás
mejora	mejorarás
mueve	moverás
necesita	necesitarás
observa	observarás
organiza	organizarás
pide	pedirás
pone	pondrás
prueba	probarás
refiere	referirás
relaciona	relacionarás
responde	responderás
sabe	sabrás
saca	sacarás
sale	saldrás
satisface	satisfarás
sirve	servirás
soporta	soportarás
sugiere	sugerirás
supervisa	supervisarás
une	unirás
vende	venderás
