acepta	aceptaban
adquiere	adquirían
anima	animaban
anuncia	anunciaban
asegura	aseguraban
asiste	asistían
averigua	averiguaban
cae	caían
canta	cantaban
comienza	comenzaban
comparte	compartían
conoce	conocían
considera	consideraban
consolida	consolidaban
coordina	coordinaban
crea	creaban
crece	crecían
desarrolla	desarrollaban
descubre	descubrían
designa	designaban
ejecuta	ejecutaban
empieza	empezaban
enseña	enseñaban
entiende	entendían
entra	entraban
evita	evitaban
financia	financiaban
fomenta	fomentaban
llega	llegaban
localiza	localizaban
mira	miraban
paga	pagaban
pide	pedían
permite	permitían
propone	proponían
publica	publicaban
realiza	realizaban
refiere	referían
relaciona	relacionaban
resuelve	resolvían
rompe	rompían
sale	salían
satisface	satisfacían
sigue	seguían
sufre	sufrían
tiene	tenían
toma	tomaban
trabaja	trabajaban
vuela	volaban
vuelve	volvían
