acuerdan	acordaría
actúan	actuaría
alientan	alentaría
aplican	aplicaría
aprovechan	aprovecharía
añaden	añadiría
cambian	cambiaría
celebran	celebraría
conducen	conduciría
consiguen	conseguiría
consultan	consultaría
cubren	cubriría
defienden	defendería
demuestran	demostraría
descargan	descargaría
dirigen	dirigiría
disfrutan	disfrutaría
ejercen	ejercería
elaboran	elaboraría
eligen	elegiría
eliminan	eliminaría
enseñan	enseñaría
entran	entraría
forman	formaría
habilitan	habilitaría
hablan	hablaría
incluyen	incluiría
integran	integraría
investigan	investigaría
van	iría
limpian	limpiaría
llegan	llegaría
logran	lograría
luchan	lucharía
mejoran	mejoraría
modifican	modificaría
mueren	moriría
ocurren	ocurriría
olvidan	olvidaría
permanecen	permanecería
protegen	protegería
reconocen	reconocería
refuerzan	reforzaría
representan	representaría
requieren	requeriría
siguen	seguiría
sientan	sentaría
superan	superaría
tienen	tendría
verifican	verificaría
