abordan	abordarán
analizan	analizarán
aplican	aplicarán
aprovechan	aprovecharán
añaden	añadirán
buscan	buscarán
cambian	cambiarán
combaten	combatirán
comparten	compartirán
compran	comprarán
conducen	conducirán
confirman	confirmarán
cuentan	contarán
cooperan	cooperarán
corren	correrán
enseñan	enseñarán
entran	entrarán
evaden	evadirán
exploran	explorarán
fallan	fallarán
fomentan	fomentarán
habilitan	habilitarán
imaginan	imaginarán
incluyen	incluirán
inician	iniciarán
instalan	instalarán
invierten	invertirán
lloran	llorarán
matan	matarán
mueven	moverán
necesitan	necesitarán
observan	observarán
operan	operarán
organizan	organizarán
permanecen	permanecerán
preparan	prepararán
previenen	prevendrán
producen	producirán
promueven	promoverán
publican	publicarán
salen	saldrán
son	serán
señalan	señalarán
sobreviven	sobrevivirán
solicitan	solicitarán
soportan	soportarán
trabajan	trabajarán
visitan	visitarán
vuelven	volverán
votan	votarán
