adoptan	adoptaba
alcanzan	alcanzaba
anuncian	anunciaba
aseguran	aseguraba
asumen	asumía
atienden	atendía
averiguan	averiguaba
caminan	caminaba
combaten	combatía
consisten	consistía
consolidan	consolidaba
contienen	contenía
contribuyen	contribuía
crean	creaba
cuidan	cuidaba
demuestran	demostraba
discuten	discutía
duermen	dormía
eliminan	eliminaba
enfrentan	enfrentaba
escriben	escribía
estudian	estudiaba
expresan	expresaba
generan	generaba
guardan	guardaba
imponen	imponía
van	iba
limitan	limitaba
llegan	llegaba
lloran	lloraba
mueren	moría
observan	observaba
olvidan	olvidaba
ponen	ponía
preparan	preparaba
preservan	preservaba
prestan	prestaba
producen	producía
quedan	quedaba
reconocen	reconocía
refuerzan	reforzaba
respetan	respetaba
responden	respondía
siguen	seguía
seleccionan	seleccionaba
sirven	servía
superan	superaba
terminan	terminaba
toman	tomaba
tratan	trataba
