aborda	abordará
acelera	acelerará
agradece	agradecerá
anima	animará
apoya	apoyará
aprueba	aprobará
atiende	atenderá
añade	añadirá
bebe	beberá
busca	buscará
camina	caminará
celebra	celebrará
cierra	cerrará
comprueba	comprobará
consiste	consistirá
convierte	convertirá
corta	cortará
dice	dirá
descubre	descubrirá
destaca	destacará
empieza	empezará
encuentra	encontrará
escribe	escribirá
guarda	guardará
habla	hablará
hace	hará
impone	impondrá
mantiene	mantendrá
muere	morirá
muestra	mostrará
mueve	moverá
ocurre	ocurrirá
parece	parecerá
pierde	perderá
pregunta	preguntará
proporciona	proporcionará
representa	representará
resuelve	resolverá
respeta	respetará
roba	robará
sale	saldrá
selecciona	seleccionará
señala	señalará
soporta	soportará
toma	tomará
trae	traerá
usa	usará
visita	visitará
vuela	volará
vuelve	volverá
