abandoné	abandonará
accedí	accederá
aceleré	acelerará
actué	actuará
adopté	adoptará
apoyé	apoyará
aprendí	aprenderá
atraje	atraerá
causé	causará
cerré	cerrará
comprendí	comprenderá
concluí	concluirá
confié	confiará
conservé	conservará
consideré	considerará
construí	construirá
corrí	correrá
creé	creará
describí	describirá
enfrenté	enfrentará
enseñé	enseñará
entendí	entenderá
envié	enviará
escuché	escuchará
estuve	estará
estudié	estudiará
existí	existirá
hablé	hablará
indiqué	indicará
inicié	iniciará
integré	integrará
introduje	introducirá
investigué	investigará
involucré	involucrará
leí	leerá
localicé	localizará
mencioné	mencionará
miré	mirará
necesité	necesitará
ofrecí	ofrecerá
pedí	pedirá
pregunté	preguntará
preservé	preservará
probé	probará
reemplacé	reemplazará
relacioné	relacionará
rompí	romperá
sobreviví	sobrevivirá
sugerí	sugerirá
tomé	tomará
