adoptaron	adoptaría
adquirieron	adquiriría
agradecieron	agradecería
aprobaron	aprobaría
asistieron	asistiría
asumieron	asumiría
aumentaron	aumentaría
avanzaron	avanzaría
consiguieron	conseguiría
consistieron	consistiría
creyeron	creería
cumplieron	cumpliría
dieron	daría
dejaron	dejaría
descargaron	descargaría
destacaron	destacaría
detuvieron	detendría
durmieron	dormiría
ejecutaron	ejecutaría
ejercieron	ejercería
eliminaron	eliminaría
escaparon	escaparía
estudiaron	estudiaría
facilitaron	facilitaría
fallaron	fallaría
funcionaron	funcionaría
generaron	generaría
impusieron	impondría
instalaron	instalaría
investigaron	investigaría
fueron	iría
jugaron	jugaría
leyeron	leería
limpiaron	limpiaría
llamaron	llamaría
lucharon	lucharía
mostraron	mostraría
pagaron	pagaría
parecieron	parecería
previnieron	prevendría
recordaron	recordaría
recuperaron	recuperaría
redujeron	reduciría
señalaron	señalaría
sugirieron	sugeriría
sumaron	sumaría
usaron	usaría
vendieron	vendería
vinieron	vendría
visitaron	visitaría
