abordaron	abordarían
aceleraron	acelerarían
alcanzaron	alcanzarían
aplicaron	aplicarían
aseguraron	asegurarían
asumieron	asumirían
avanzaron	avanzarían
ayudaron	ayudarían
añadieron	añadirían
bebieron	beberían
consolidaron	consolidarían
corrieron	correrían
crearon	crearían
crecieron	crecerían
desarrollaron	desarrollarían
designaron	designarían
durmieron	dormirían
ejercieron	ejercerían
eligieron	elegirían
empezaron	empezarían
enfrentaron	enfrentarían
escaparon	escaparían
evadieron	evadirían
fallaron	fallarían
formularon	formularían
guardaron	guardarían
hubieron	habrían
hablaron	hablarían
impusieron	impondrían
incluyeron	incluirían
intentaron	intentarían
limitaron	limitarían
lloraron	llorarían
localizaron	localizarían
mencionaron	mencionarían
movieron	moverían
olvidaron	olvidarían
parecieron	parecerían
permitieron	permitirían
prestaron	prestarían
previnieron	prevendrían
produjeron	producirían
propusieron	propondrían
proporcionaron	proporcionarían
recibieron	recibirían
resolvieron	resolverían
respondieron	responderían
trataron	tratarían
usaron	usarían
vendieron	venderían
