abandonó	abandonaría
adoptó	adoptaría
apoyó	apoyaría
atrajo	atraería
averiguó	averiguaría
bailó	bailaría
buscó	buscaría
casó	casaría
conoció	conocería
consiguió	conseguiría
consolidó	consolidaría
construyó	construiría
consultó	consultaría
continuó	continuaría
convirtió	convertiría
cortó	cortaría
decidió	decidiría
demostró	demostraría
desempeñó	desempeñaría
empezó	empezaría
entró	entraría
envió	enviaría
escapó	escaparía
evadió	evadiría
fortaleció	fortalecería
garantizó	garantizaría
gestionó	gestionaría
habló	hablaría
impuso	impondría
incluyó	incluiría
intentó	intentaría
llegó	llegaría
mostró	mostraría
necesitó	necesitaría
ofreció	ofrecería
partió	partiría
pasó	pasaría
preservó	preservaría
previno	prevendría
propuso	propondría
proveyó	proveería
realizó	realizaría
reforzó	reforzaría
representó	representaría
respondió	respondería
siguió	seguiría
seleccionó	seleccionaría
unió	uniría
vendió	vendería
verificó	verificaría
