agradeció	agradeceréis
asistió	asistiréis
atendió	atenderéis
averiguó	averiguaréis
ayudó	ayudaréis
añadió	añadiréis
bailó	bailaréis
casó	casaréis
causó	causaréis
cerró	cerraréis
confirmó	confirmaréis
conoció	conoceréis
consideró	consideraréis
construyó	construiréis
corrió	correréis
cortó	cortaréis
destruyó	destruiréis
dirigió	dirigiréis
elaboró	elaboraréis
eliminó	eliminaréis
envió	enviaréis
escuchó	escucharéis
esperó	esperaréis
explicó	explicaréis
fomentó	fomentaréis
hizo	haréis
identificó	identificaréis
implicó	implicaréis
indicó	indicaréis
informó	informaréis
involucró	involucraréis
jugó	jugaréis
logró	lograréis
mencionó	mencionaréis
miró	miraréis
murió	moriréis
necesitó	necesitaréis
ofreció	ofreceréis
pensó	pensaréis
previno	prevendréis
promovió	promoveréis
proporcionó	proporcionaréis
quedó	quedaréis
realizó	realizaréis
reforzó	reforzaréis
salvó	salvaréis
seleccionó	seleccionaréis
solicitó	solicitaréis
tomó	tomaréis
utilizó	utilizaréis
