accedió	accedieron
aceleró	aceleraron
agradeció	agradecieron
analizó	analizaron
animó	animaron
aplicó	aplicaron
aprovechó	aprovecharon
atendió	atendieron
aumentó	aumentaron
bailó	bailaron
buscó	buscaron
cambió	cambiaron
cerró	cerraron
comprendió	comprendieron
conoció	conocieron
conservó	conservaron
consolidó	consolidaron
construyó	construyeron
contó	contaron
controló	controlaron
convirtió	convirtieron
coordinó	coordinaron
cuidó	cuidaron
descargó	descargaron
describió	describieron
desempeñó	desempeñaron
encontró	encontraron
estableció	establecieron
examinó	examinaron
exploró	exploraron
firmó	firmaron
ganó	ganaron
guardó	guardaron
habilitó	habilitaron
indicó	indicaron
llamó	llamaron
lloró	lloraron
mantuvo	mantuvieron
mencionó	mencionaron
murió	murieron
proporcionó	proporcionaron
realizó	realizaron
recordó	recordaron
satisfizo	satisficieron
seleccionó	seleccionaron
sintió	sintieron
sirvió	sirvieron
sufrió	sufrieron
superó	superaron
tuvo	tuvieron
