aceptábamos	aceptabais
actuábamos	actuabais
aprobábamos	aprobabais
asumíamos	asumíais
añadíamos	añadíais
bebíamos	bebíais
caminábamos	caminabais
causábamos	causabais
cerrábamos	cerrabais
combatíamos	combatíais
completábamos	completabais
concluíamos	concluíais
cortábamos	cortabais
decidíamos	decidíais
dejábamos	dejabais
demostrábamos	demostrabais
desempeñábamos	desempeñabais
designábamos	designabais
destruíamos	destruíais
deteníamos	deteníais
entrábamos	entrabais
existíamos	existíais
guardábamos	guardabais
habilitábamos	habilitabais
implicábamos	implicabais
incluíamos	incluíais
instalábamos	instalabais
invertíamos	invertíais
leíamos	leíais
medíamos	medíais
necesitábamos	necesitabais
obteníamos	obteníais
oíamos	oíais
parecíamos	parecíais
permanecíamos	permanecíais
permitíamos	permitíais
presentábamos	presentabais
producíamos	producíais
proponíamos	proponíais
regresábamos	regresabais
robábamos	robabais
sabíamos	sabíais
salvábamos	salvabais
seguíamos	seguíais
éramos	erais
solicitábamos	solicitabais
sugeríamos	sugeríais
tocábamos	tocabais
tomábamos	tomabais
tratábamos	tratabais
