abordábamos	abordaban
accedíamos	accedían
administrábamos	administraban
animábamos	animaban
apoyábamos	apoyaban
atraíamos	atraían
aumentábamos	aumentaban
averiguábamos	averiguaban
ayudábamos	ayudaban
cambiábamos	cambiaban
conocíamos	conocían
contábamos	contaban
cortábamos	cortaban
creábamos	creaban
dejábamos	dejaban
dependíamos	dependían
describíamos	describían
discutíamos	discutían
encontrábamos	encontraban
entrábamos	entraban
estábamos	estaban
facilitábamos	facilitaban
garantizábamos	garantizaban
gestionábamos	gestionaban
guardábamos	guardaban
íbamos	iban
leíamos	leían
manejábamos	manejaban
medíamos	medían
mirábamos	miraban
moríamos	morían
movíamos	movían
pedíamos	pedían
permanecíamos	permanecían
poníamos	ponían
presentábamos	presentaban
prestábamos	prestaban
probábamos	probaban
producíamos	producían
promovíamos	promovían
recibíamos	recibían
referíamos	referían
resolvíamos	resolvían
sabíamos	sabían
salvábamos	salvaban
sentíamos	sentían
sufríamos	sufrían
traíamos	traían
volábamos	volaban
votábamos	votaban
