actuaba	actuaréis
alentaba	alentaréis
atendía	atenderéis
ayudaba	ayudaréis
añadía	añadiréis
bailaba	bailaréis
cerraba	cerraréis
comenzaba	comenzaréis
completaba	completaréis
comprendía	comprenderéis
consideraba	consideraréis
consolidaba	consolidaréis
decidía	decidiréis
decía	diréis
dejaba	dejaréis
demostraba	demostraréis
descargaba	descargaréis
destruía	destruiréis
empezaba	empezaréis
enfrentaba	enfrentaréis
enseñaba	enseñaréis
escuchaba	escucharéis
explicaba	explicaréis
fomentaba	fomentaréis
guardaba	guardaréis
imaginaba	imaginaréis
incrementaba	incrementaréis
indicaba	indicaréis
introducía	introduciréis
limpiaba	limpiaréis
lograba	lograréis
participaba	participaréis
pensaba	pensaréis
permitía	permitiréis
prevenía	prevendréis
promocionaba	promocionaréis
proporcionaba	proporcionaréis
recibía	recibiréis
recordaba	recordaréis
reducía	reduciréis
representaba	representaréis
resolvía	resolveréis
seleccionaba	seleccionaréis
sentía	sentiréis
era	seréis
solicitaba	solicitaréis
soportaba	soportaréis
supervisaba	supervisaréis
unía	uniréis
veía	veréis
