adquirían	adquiriría
agradecían	agradecería
alcanzaban	alcanzaría
animaban	animaría
aseguraban	aseguraría
atendían	atendería
caían	caería
causaban	causaría
confirmaban	confirmaría
conseguían	conseguiría
consistían	consistiría
construían	construiría
consultaban	consultaría
contribuían	contribuiría
creaban	crearía
defendían	defendería
describían	describiría
determinaban	determinaría
disfrutaban	disfrutaría
elaboraban	elaboraría
enviaban	enviaría
escapaban	escaparía
esperaban	esperaría
existían	existiría
formaban	formaría
gastaban	gastaría
implicaban	implicaría
limitaban	limitaría
llamaban	llamaría
morían	moriría
olvidaban	olvidaría
organizaban	organizaría
pagaban	pagaría
preguntaban	preguntaría
preservaban	preservaría
prestaban	prestaría
proporcionaban	proporcionaría
recogían	recogería
referían	referiría
respetaban	respetaría
revisaban	revisaría
sentaban	sentaría
eran	sería
superaban	superaría
terminaban	terminaría
tocaban	tocaría
vendían	vendería
veían	vería
viajaban	viajaría
volvían	volvería
