abrían	abrieron
alentaban	alentaron
aplicaban	aplicaron
asistían	asistieron
atraían	atrajeron
causaban	causaron
comían	comieron
conducían	condujeron
conservaban	conservaron
consideraban	consideraron
creían	creyeron
cumplían	cumplieron
daban	dieron
designaban	designaron
detenían	detuvieron
ejecutaban	ejecutaron
escapaban	escaparon
existían	existieron
formulaban	formularon
generaban	generaron
implicaban	implicaron
intentaban	intentaron
introducían	introdujeron
invertían	invirtieron
limitaban	limitaron
llamaban	llamaron
mencionaban	mencionaron
movían	movieron
necesitaban	necesitaron
operaban	operaron
pasaban	pasaron
pedían	pidieron
prestaban	prestaron
prevenían	previnieron
publicaban	publicaron
realizaban	realizaron
reducían	redujeron
regresaban	regresaron
requerían	requirieron
resolvían	resolvieron
robaban	robaron
rompían	rompieron
servían	sirvieron
soportaban	soportaron
sufrían	sufrieron
terminaban	terminaron
tomaban	tomaron
trabajaban	trabajaron
utilizaban	utilizaron
veían	vieron
