abrían	abrió
accedían	accedió
agradecían	agradeció
aprovechaban	aprovechó
avanzaban	avanzó
buscaban	buscó
compraban	compró
confirmaban	confirmó
cortaban	cortó
creaban	creó
cubrían	cubrió
cumplían	cumplió
daban	dio
decían	dijo
dejaban	dejó
descargaban	descargó
describían	describió
designaban	designó
determinaban	determinó
discutían	discutió
escapaban	escapó
esperaban	esperó
evadían	evadió
evaluaban	evaluó
examinaban	examinó
exploraban	exploró
fallaban	falló
firmaban	firmó
funcionaban	funcionó
generaban	generó
implicaban	implicó
incorporaban	incorporó
limitaban	limitó
movían	movió
pagaban	pagó
pasaban	pasó
pedían	pidió
permitían	permitió
probaban	probó
recibían	recibió
reconocían	reconoció
respondían	respondió
servían	sirvió
señalaban	señaló
sugerían	sugirió
supervisaban	supervisó
traían	trajo
usaban	usó
verificaban	verificó
volvían	volvió
