aceptabais	aceptará
actuabais	actuará
alentabais	alentará
ampliabais	ampliará
analizabais	analizará
animabais	animará
aplicabais	aplicará
apoyabais	apoyará
aprobabais	aprobará
asegurabais	asegurará
combatíais	combatirá
comenzabais	comenzará
comíais	comerá
comprabais	comprará
conteníais	contendrá
continuabais	continuará
controlabais	controlará
dabais	dará
decidíais	decidirá
demostrabais	demostrará
destruíais	destruirá
dirigíais	dirigirá
elegíais	elegirá
enseñabais	enseñará
enviabais	enviará
existíais	existirá
guardabais	guardará
identificabais	identificará
imponíais	impondrá
incluíais	incluirá
indicabais	indicará
informabais	informará
llamabais	llamará
llegabais	llegará
luchabais	luchará
movíais	moverá
necesitabais	necesitará
obteníais	obtendrá
ofrecíais	ofrecerá
preguntabais	preguntará
proporcionabais	proporcionará
protegíais	protegerá
proveíais	proveerá
referíais	referirá
sacabais	sacará
satisfacíais	satisfará
seleccionabais	seleccionará
supervisabais	supervisará
visitabais	visitará
votabais	votará
