abandonaba	abandonaban
abría	abrían
accedía	accedían
aceleraba	aceleraban
aceptaba	aceptaban
adoptaba	adoptaban
agradecía	agradecían
animaba	animaban
añadía	añadían
buscaba	buscaban
comenzaba	comenzaban
conducía	conducían
conseguía	conseguían
consideraba	consideraban
consistía	consistían
consultaba	consultaban
contribuía	contribuían
corría	corrían
demostraba	demostraban
desempeñaba	desempeñaban
designaba	designaban
discutía	discutían
elegía	elegían
entraba	entraban
enviaba	enviaban
evadía	evadían
explicaba	explicaban
formulaba	formulaban
gastaba	gastaban
informaba	informaban
intentaba	intentaban
manejaba	manejaban
mejoraba	mejoraban
modificaba	modificaban
mostraba	mostraban
participaba	participaban
presentaba	presentaban
preservaba	preservaban
protegía	protegían
reconocía	reconocían
refería	referían
requería	requerían
revisaba	revisaban
rompía	rompían
sumaba	sumaban
superaba	superaban
tocaba	tocaban
usaba	usaban
visitaba	visitaban
votaba	votaban
