inf	gerund	parti	presente__1_sing	presente__2_sing_tu	presente__2_sing_usted	presente__3_sing	presente__1_plur	presente__2_plur_vosotros	presente__2_plur_ustedes	presente__3_plur	preterito_imp__1_sing	preterito_imp__2_sing_tu	preterito_imp__2_sing_usted	preterito_imp__3_sing	preterito_imp__1_plur	preterito_imp__2_plur_vosotros	preterito_imp__2_plur_ustedes	preterito_imp__3_plur	presente_perf__1_sing	presente_perf__2_sing_tu	presente_perf__2_sing_usted	presente_perf__3_sing	presente_perf__1_plur	presente_perf__2_plur_vosotros	presente_perf__2_plur_ustedes	presente_perf__3_plur	futuro_imp__1_sing	futuro_imp__2_sing_tu	futuro_imp__2_sing_usted	futuro_imp__3_sing	futuro_imp__1_plur	futuro_imp__2_plur_vosotros	futuro_imp__2_plur_ustedes	futuro_imp__3_plur	cond_simp__1_sing	cond_simp__2_sing_tu	cond_simp__2_sing_usted	cond_simp__3_sing	cond_simp__1_plur	cond_simp__2_plur_vosotros	cond_simp__2_plur_ustedes	cond_simp__3_plur	
abandonar	abandonando	abandonado	abandono	abandonas/abandonás	abandona	abandona	abandonamos	abandonáis	abandonan	abandonan	abandonaba	abandonabas	abandonaba	abandonaba	abandonábamos	abandonabais	abandonaban	abandonaban	abandoné	abandonaste	abandonó	abandonó	abandonamos	abandonasteis	abandonaron	abandonaron	abandonaré	abandonarás	abandonará	abandonará	abandonaremos	abandonaréis	abandonarán	abandonarán	abandonaría	abandonarías	abandonaría	abandonaría	abandonaríamos	abandonaríais	abandonarían	abandonarían	
abordar	abordando	abordado	abordo	abordas/abordás	aborda	aborda	abordamos	abordáis	abordan	abordan	abordaba	abordabas	abordaba	abordaba	abordábamos	abordabais	abordaban	abordaban	abordé	abordaste	abordó	abordó	abordamos	abordasteis	abordaron	abordaron	abordaré	abordarás	abordará	abordará	abordaremos	abordaréis	abordarán	abordarán	abordaría	abordarías	abordaría	abordaría	abordaríamos	abordaríais	abordarían	abordarían	
abrir	abriendo	abierto	abro	abres/abrís	abre	abre	abrimos	abrís	abren	abren	abría	abrías	abría	abría	abríamos	abríais	abrían	abrían	abrí	abriste	abrió	abrió	abrimos	abristeis	abrieron	abrieron	abriré	abrirás	abrirá	abrirá	abriremos	abriréis	abrirán	abrirán	abriría	abrirías	abriría	abriría	abriríamos	abriríais	abrirían	abrirían	
acceder	accediendo	accedido	accedo	accedes/accedés	accede	accede	accedemos	accedéis	acceden	acceden	accedía	accedías	accedía	accedía	accedíamos	accedíais	accedían	accedían	accedí	accediste	accedió	accedió	accedimos	accedisteis	accedieron	accedieron	accederé	accederás	accederá	accederá	accederemos	accederéis	accederán	accederán	accedería	accederías	accedería	accedería	accederíamos	accederíais	accederían	accederían	
acelerar	acelerando	acelerado	acelero	aceleras/acelerás	acelera	acelera	aceleramos	aceleráis	aceleran	aceleran	aceleraba	acelerabas	aceleraba	aceleraba	acelerábamos	acelerabais	aceleraban	aceleraban	aceleré	aceleraste	aceleró	aceleró	aceleramos	acelerasteis	aceleraron	aceleraron	aceleraré	acelerarás	acelerará	acelerará	aceleraremos	aceleraréis	acelerarán	acelerarán	aceleraría	acelerarías	aceleraría	aceleraría	aceleraríamos	aceleraríais	acelerarían	acelerarían	
aceptar	aceptando	aceptado	acepto	aceptas/aceptás	acepta	acepta	aceptamos	aceptáis	aceptan	aceptan	aceptaba	aceptabas	aceptaba	aceptaba	aceptábamos	aceptabais	aceptaban	aceptaban	acepté	aceptaste	aceptó	aceptó	aceptamos	aceptasteis	aceptaron	aceptaron	aceptaré	aceptarás	aceptará	aceptará	aceptaremos	aceptaréis	aceptarán	aceptarán	aceptaría	aceptarías	aceptaría	aceptaría	aceptaríamos	aceptaríais	aceptarían	aceptarían	
acordar	acordando	acordado	acuerdo	acuerdas/acordás	acuerda	acuerda	acordamos	acordáis	acuerdan	acuerdan	acordaba	acordabas	acordaba	acordaba	acordábamos	acordabais	acordaban	acordaban	acordé	acordaste	acordó	acordó	acordamos	acordasteis	acordaron	acordaron	acordaré	acordarás	acordará	acordará	acordaremos	acordaréis	acordarán	acordarán	acordaría	acordarías	acordaría	acordaría	acordaríamos	acordaríais	acordarían	acordarían	
actuar	actuando	actuado	actúo	actúas/actuás	actúa	actúa	actuamos	actuáis	actúan	actúan	actuaba	actuabas	actuaba	actuaba	actuábamos	actuabais	actuaban	actuaban	actué	actuaste	actuó	actuó	actuamos	actuasteis	actuaron	actuaron	actuaré	actuarás	actuará	actuará	actuaremos	actuaréis	actuarán	actuarán	actuaría	actuarías	actuaría	actuaría	actuaríamos	actuaríais	actuarían	actuarían	
administrar	administrando	administrado	administro	administras/administrás	administra	administra	administramos	administráis	administran	administran	administraba	administrabas	administraba	administraba	administrábamos	administrabais	administraban	administraban	administré	administraste	administró	administró	administramos	administrasteis	administraron	administraron	administraré	administrarás	administrará	administrará	administraremos	administraréis	administrarán	administrarán	administraría	administrarías	administraría	administraría	administraríamos	administraríais	administrarían	administrarían	
adoptar	adoptando	adoptado	adopto	adoptas/adoptás	adopta	adopta	adoptamos	adoptáis	adoptan	adoptan	adoptaba	adoptabas	adoptaba	adoptaba	adoptábamos	adoptabais	adoptaban	adoptaban	adopté	adoptaste	adoptó	adoptó	adoptamos	adoptasteis	adoptaron	adoptaron	adoptaré	adoptarás	adoptará	adoptará	adoptaremos	adoptaréis	adoptarán	adoptarán	adoptaría	adoptarías	adoptaría	adoptaría	adoptaríamos	adoptaríais	adoptarían	adoptarían	
adquirir	adquiriendo	adquirido	adquiero	adquieres/adquirís	adquiere	adquiere	adquirimos	adquirís	adquieren	adquieren	adquiría	adquirías	adquiría	adquiría	adquiríamos	adquiríais	adquirían	adquirían	adquirí	adquiriste	adquirió	adquirió	adquirimos	adquiristeis	adquirieron	adquirieron	adquiriré	adquirirás	adquirirá	adquirirá	adquiriremos	adquiriréis	adquirirán	adquirirán	adquiriría	adquirirías	adquiriría	adquiriría	adquiriríamos	adquiriríais	adquirirían	adquirirían	
agradecer	agradeciendo	agradecido	agradezco	agradeces/agradecés	agradece	agradece	agradecemos	agradecéis	agradecen	agradecen	agradecía	agradecías	agradecía	agradecía	agradecíamos	agradecíais	agradecían	agradecían	agradecí	agradeciste	agradeció	agradeció	agradecimos	agradecisteis	agradecieron	agradecieron	agradeceré	agradecerás	agradecerá	agradecerá	agradeceremos	agradeceréis	agradecerán	agradecerán	agradecería	agradecerías	agradecería	agradecería	agradeceríamos	agradeceríais	agradecerían	agradecerían	
alcanzar	alcanzando	alcanzado	alcanzo	alcanzas/alcanzás	alcanza	alcanza	alcanzamos	alcanzáis	alcanzan	alcanzan	alcanzaba	alcanzabas	alcanzaba	alcanzaba	alcanzábamos	alcanzabais	alcanzaban	alcanzaban	alcancé	alcanzaste	alcanzó	alcanzó	alcanzamos	alcanzasteis	alcanzaron	alcanzaron	alcanzaré	alcanzarás	alcanzará	alcanzará	alcanzaremos	alcanzaréis	alcanzarán	alcanzarán	alcanzaría	alcanzarías	alcanzaría	alcanzaría	alcanzaríamos	alcanzaríais	alcanzarían	alcanzarían	
alentar	alentando	alentado	aliento	alientas/alentás	alienta	alienta	alentamos	alentáis	alientan	alientan	alentaba	alentabas	alentaba	alentaba	alentábamos	alentabais	alentaban	alentaban	alenté	alentaste	alentó	alentó	alentamos	alentasteis	alentaron	alentaron	alentaré	alentarás	alentará	alentará	alentaremos	alentaréis	alentarán	alentarán	alentaría	alentarías	alentaría	alentaría	alentaríamos	alentaríais	alentarían	alentarían	
ampliar	ampliando	ampliado	amplío	amplías/ampliás	amplía	amplía	ampliamos	ampliáis	amplían	amplían	ampliaba	ampliabas	ampliaba	ampliaba	ampliábamos	ampliabais	ampliaban	ampliaban	amplié	ampliaste	amplió	amplió	ampliamos	ampliasteis	ampliaron	ampliaron	ampliaré	ampliarás	ampliará	ampliará	ampliaremos	ampliaréis	ampliarán	ampliarán	ampliaría	ampliarías	ampliaría	ampliaría	ampliaríamos	ampliaríais	ampliarían	ampliarían	
analizar	analizando	analizado	analizo	analizas/analizás	analiza	analiza	analizamos	analizáis	analizan	analizan	analizaba	analizabas	analizaba	analizaba	analizábamos	analizabais	analizaban	analizaban	analicé	analizaste	analizó	analizó	analizamos	analizasteis	analizaron	analizaron	analizaré	analizarás	analizará	analizará	analizaremos	analizaréis	analizarán	analizarán	analizaría	analizarías	analizaría	analizaría	analizaríamos	analizaríais	analizarían	analizarían	
animar	animando	animado	animo	animas/animás	anima	anima	animamos	animáis	animan	animan	animaba	animabas	animaba	animaba	animábamos	animabais	animaban	animaban	animé	animaste	animó	animó	animamos	animasteis	animaron	animaron	animaré	animarás	animará	animará	animaremos	animaréis	animarán	animarán	animaría	animarías	animaría	animaría	animaríamos	animaríais	animarían	animarían	
anunciar	anunciando	anunciado	anuncio	anuncias/anunciás	anuncia	anuncia	anunciamos	anunciáis	anuncian	anuncian	anunciaba	anunciabas	anunciaba	anunciaba	anunciábamos	anunciabais	anunciaban	anunciaban	anuncié	anunciaste	anunció	anunció	anunciamos	anunciasteis	anunciaron	anunciaron	anunciaré	anunciarás	anunciará	anunciará	anunciaremos	anunciaréis	anunciarán	anunciarán	anunciaría	anunciarías	anunciaría	anunciaría	anunciaríamos	anunciaríais	anunciarían	anunciarían	
aparecer	apareciendo	aparecido	aparezco	apareces/aparecés	aparece	aparece	aparecemos	aparecéis	aparecen	aparecen	aparecía	aparecías	aparecía	aparecía	aparecíamos	aparecíais	aparecían	aparecían	aparecí	apareciste	apareció	apareció	aparecimos	aparecisteis	aparecieron	aparecieron	apareceré	aparecerás	aparecerá	aparecerá	apareceremos	apareceréis	aparecerán	aparecerán	aparecería	aparecerías	aparecería	aparecería	apareceríamos	apareceríais	aparecerían	aparecerían	
aplicar	aplicando	aplicado	aplico	aplicas/aplicás	aplica	aplica	aplicamos	aplicáis	aplican	aplican	aplicaba	aplicabas	aplicaba	aplicaba	aplicábamos	aplicabais	aplicaban	aplicaban	apliqué	aplicaste	aplicó	aplicó	aplicamos	aplicasteis	aplicaron	aplicaron	aplicaré	aplicarás	aplicará	aplicará	aplicaremos	aplicaréis	aplicarán	aplicarán	aplicaría	aplicarías	aplicaría	aplicaría	aplicaríamos	aplicaríais	aplicarían	aplicarían	
apoyar	apoyando	apoyado	apoyo	apoyas/apoyás	apoya	apoya	apoyamos	apoyáis	apoyan	apoyan	apoyaba	apoyabas	apoyaba	apoyaba	apoyábamos	apoyabais	apoyaban	apoyaban	apoyé	apoyaste	apoyó	apoyó	apoyamos	apoyasteis	apoyaron	apoyaron	apoyaré	apoyarás	apoyará	apoyará	apoyaremos	apoyaréis	apoyarán	apoyarán	apoyaría	apoyarías	apoyaría	apoyaría	apoyaríamos	apoyaríais	apoyarían	apoyarían	
aprender	aprendiendo	aprendido	aprendo	aprendes/aprendés	aprende	aprende	aprendemos	aprendéis	aprenden	aprenden	aprendía	aprendías	aprendía	aprendía	aprendíamos	aprendíais	aprendían	aprendían	aprendí	aprendiste	aprendió	aprendió	aprendimos	aprendisteis	aprendieron	aprendieron	aprenderé	aprenderás	aprenderá	aprenderá	aprenderemos	aprenderéis	aprenderán	aprenderán	aprendería	aprenderías	aprendería	aprendería	aprenderíamos	aprenderíais	aprenderían	aprenderían	
aprobar	aprobando	aprobado	apruebo	apruebas/aprobás	aprueba	aprueba	aprobamos	aprobáis	aprueban	aprueban	aprobaba	aprobabas	aprobaba	aprobaba	aprobábamos	aprobabais	aprobaban	aprobaban	aprobé	aprobaste	aprobó	aprobó	aprobamos	aprobasteis	aprobaron	aprobaron	aprobaré	aprobarás	aprobará	aprobará	aprobaremos	aprobaréis	aprobarán	aprobarán	aprobaría	aprobarías	aprobaría	aprobaría	aprobaríamos	aprobaríais	aprobarían	aprobarían	
aprovechar	aprovechando	aprovechado	aprovecho	aprovechas/aprovechás	aprovecha	aprovecha	aprovechamos	aprovecháis	aprovechan	aprovechan	aprovechaba	aprovechabas	aprovechaba	aprovechaba	aprovechábamos	aprovechabais	aprovechaban	aprovechaban	aproveché	aprovechaste	aprovechó	aprovechó	aprovechamos	aprovechasteis	aprovecharon	aprovecharon	aprovecharé	aprovecharás	aprovechará	aprovechará	aprovecharemos	aprovecharéis	aprovecharán	aprovecharán	aprovecharía	aprovecharías	aprovecharía	aprovecharía	aprovecharíamos	aprovecharíais	aprovecharían	aprovecharían	
asegurar	asegurando	asegurado	aseguro	aseguras/asegurás	asegura	asegura	aseguramos	aseguráis	aseguran	aseguran	aseguraba	asegurabas	aseguraba	aseguraba	asegurábamos	asegurabais	aseguraban	aseguraban	aseguré	aseguraste	aseguró	aseguró	aseguramos	asegurasteis	aseguraron	aseguraron	aseguraré	asegurarás	asegurará	asegurará	aseguraremos	aseguraréis	asegurarán	asegurarán	aseguraría	asegurarías	aseguraría	aseguraría	aseguraríamos	aseguraríais	asegurarían	asegurarían	
asistir	asistiendo	asistido	asisto	asistes/asistís	asiste	asiste	asistimos	asistís	asisten	asisten	asistía	asistías	asistía	asistía	asistíamos	asistíais	asistían	asistían	asistí	asististe	asistió	asistió	asistimos	asististeis	asistieron	asistieron	asistiré	asistirás	asistirá	asistirá	asistiremos	asistiréis	asistirán	asistirán	asistiría	asistirías	asistiría	asistiría	asistiríamos	asistiríais	asistirían	asistirían	
asumir	asumiendo	asumido	asumo	asumes/asumís	asume	asume	asumimos	asumís	asumen	asumen	asumía	asumías	asumía	asumía	asumíamos	asumíais	asumían	asumían	asumí	asumiste	asumió	asumió	asumimos	asumisteis	asumieron	asumieron	asumiré	asumirás	asumirá	asumirá	asumiremos	asumiréis	asumirán	asumirán	asumiría	asumirías	asumiría	asumiría	asumiríamos	asumiríais	asumirían	asumirían	
atender	atendiendo	atendido	atiendo	atiendes/atendés	atiende	atiende	atendemos	atendéis	atienden	atienden	atendía	atendías	atendía	atendía	atendíamos	atendíais	atendían	atendían	atendí	atendiste	atendió	atendió	atendimos	atendisteis	atendieron	atendieron	atenderé	atenderás	atenderá	atenderá	atenderemos	atenderéis	atenderán	atenderán	atendería	atenderías	atendería	atendería	atenderíamos	atenderíais	atenderían	atenderían	
atraer	atrayendo	atraído	atraigo	atraes/atraés	atrae	atrae	atraemos	atraéis	atraen	atraen	atraía	atraías	atraía	atraía	atraíamos	atraíais	atraían	atraían	atraje	atrajiste	atrajo	atrajo	atrajimos	atrajisteis	atrajeron	atrajeron	atraeré	atraerás	atraerá	atraerá	atraeremos	atraeréis	atraerán	atraerán	atraería	atraerías	atraería	atraería	atraeríamos	atraeríais	atraerían	atraerían	
aumentar	aumentando	aumentado	aumento	aumentas/aumentás	aumenta	aumenta	aumentamos	aumentáis	aumentan	aumentan	aumentaba	aumentabas	aumentaba	aumentaba	aumentábamos	aumentabais	aumentaban	aumentaban	aumenté	aumentaste	aumentó	aumentó	aumentamos	aumentasteis	aumentaron	aumentaron	aumentaré	aumentarás	aumentará	aumentará	aumentaremos	aumentaréis	aumentarán	aumentarán	aumentaría	aumentarías	aumentaría	aumentaría	aumentaríamos	aumentaríais	aumentarían	aumentarían	
avanzar	avanzando	avanzado	avanzo	avanzas/avanzás	avanza	avanza	avanzamos	avanzáis	avanzan	avanzan	avanzaba	avanzabas	avanzaba	avanzaba	avanzábamos	avanzabais	avanzaban	avanzaban	avancé	avanzaste	avanzó	avanzó	avanzamos	avanzasteis	avanzaron	avanzaron	avanzaré	avanzarás	avanzará	avanzará	avanzaremos	avanzaréis	avanzarán	avanzarán	avanzaría	avanzarías	avanzaría	avanzaría	avanzaríamos	avanzaríais	avanzarían	avanzarían	
averiguar	averiguando	averiguado	averiguo	averiguas/averiguás	averigua	averigua	averiguamos	averiguáis	averiguan	averiguan	averiguaba	averiguabas	averiguaba	averiguaba	averiguábamos	averiguabais	averiguaban	averiguaban	averigüé	averiguaste	averiguó	averiguó	averiguamos	averiguasteis	averiguaron	averiguaron	averiguaré	averiguarás	averiguará	averiguará	averiguaremos	averiguaréis	averiguarán	averiguarán	averiguaría	averiguarías	averiguaría	averiguaría	averiguaríamos	averiguaríais	averiguarían	averiguarían	
ayudar	ayudando	ayudado	ayudo	ayudas/ayudás	ayuda	ayuda	ayudamos	ayudáis	ayudan	ayudan	ayudaba	ayudabas	ayudaba	ayudaba	ayudábamos	ayudabais	ayudaban	ayudaban	ayudé	ayudaste	ayudó	ayudó	ayudamos	ayudasteis	ayudaron	ayudaron	ayudaré	ayudarás	ayudará	ayudará	ayudaremos	ayudaréis	ayudarán	ayudarán	ayudaría	ayudarías	ayudaría	ayudaría	ayudaríamos	ayudaríais	ayudarían	ayudarían	
añadir	añadiendo	añadido	añado	añades/añadís	añade	añade	añadimos	añadís	añaden	añaden	añadía	añadías	añadía	añadía	añadíamos	añadíais	añadían	añadían	añadí	añadiste	añadió	añadió	añadimos	añadisteis	añadieron	añadieron	añadiré	añadirás	añadirá	añadirá	añadiremos	añadiréis	añadirán	añadirán	añadiría	añadirías	añadiría	añadiría	añadiríamos	añadiríais	añadirían	añadirían	
bailar	bailando	bailado	bailo	bailas/bailás	baila	baila	bailamos	bailáis	bailan	bailan	bailaba	bailabas	bailaba	bailaba	bailábamos	bailabais	bailaban	bailaban	bailé	bailaste	bailó	bailó	bailamos	bailasteis	bailaron	bailaron	bailaré	bailarás	bailará	bailará	bailaremos	bailaréis	bailarán	bailarán	bailaría	bailarías	bailaría	bailaría	bailaríamos	bailaríais	bailarían	bailarían	
beber	bebiendo	bebido	bebo	bebes/bebés	bebe	bebe	bebemos	bebéis	beben	beben	bebía	bebías	bebía	bebía	bebíamos	bebíais	bebían	bebían	bebí	bebiste	bebió	bebió	bebimos	bebisteis	bebieron	bebieron	beberé	beberás	beberá	beberá	beberemos	beberéis	beberán	beberán	bebería	beberías	bebería	bebería	beberíamos	beberíais	beberían	beberían	
