acicalar	acicalamiento
acoger	acogimiento
acortar	acortamiento
acumular	acumulamiento
adelantar	adelantamiento
afianzar	afianzamiento
afincar	afincamiento
afrancesar	afrancesamiento
ajustar	ajustamiento
allanar	allanamiento
asentar	asentamiento
asolar	asolamiento
comportar	comportamiento
condicionar	condicionamiento
contentar	contentamiento
cornisa	cornisamiento
derrocar	derrocamiento
desbordar	desbordamiento
desmenuzar	desmenuzamiento
despegar	despegamiento
disentir	disentimiento
distanciar	distanciamiento
embolsar	embolsamiento
empadronar	empadronamiento
encabezar	encabezamiento
encuadrar	encuadramiento
endeudar	endeudamiento
enfriar	enfriamiento
ensuciar	ensuciamiento
entablar	entablamiento
entender	entendimiento
entrometer	entrometimiento
escoger	escogimiento
escudriñar	escudriñamiento
espaciar	espaciamiento
estirar	estiramiento
forzar	forzamiento
hinchar	hinchamiento
igualar	igualamiento
incumplir	incumplimiento
lucir	lucimiento
nacer	nacimiento
padecer	padecimiento
prolongar	prolongamiento
reagrupar	reagrupamiento
rebosar	rebosamiento
rebuscar	rebuscamiento
reconocer	reconocimiento
retorcer	retorcimiento
sacudir	sacudimiento
