académico	antiacadémico
alérgico	antialérgico
arrítmico	antiarrítmico
asmático	antiasmático
atómico	antiatómico
balas	antibalas
bomba	antibomba
canceroso	anticanceroso
capitalismo	anticapitalismo
capitalista	anticapitalista
católico	anticatólico
ciclón	anticiclón
científico	anticientífico
coagulante	anticoagulante
colonial	anticolonial
congelante	anticongelante
constitucional	anticonstitucional
corrosivo	anticorrosivo
corrupción	anticorrupción
cuerpo	anticuerpo
deportivo	antideportivo
deportivo	antideportivo
depresivo	antidepresivo
dinástico	antidinástico
droga	antidroga
emético	antiemético
epiléptico	antiepiléptico
fúngico	antifúngico
hipertensivo	antihipertensivo
héroe	antihéroe
liberal	antiliberal
liberalismo	antiliberalismo
magnético	antimagnético
monárquico	antimonárquico
nacionalismo	antinacionalismo
natalismo	antinatalismo
natalista	antinatalista
natura	antinatural
oxidante	antioxidante
palúdico	antipalúdico
parasitario	antiparasitario
patriótico	antipatriótico
religioso	antirreligioso
revolucionario	antirrevolucionario
semita	antisemita
semítico	antisemítico
sifilítico	antisifilítico
social	antisocial
submarino	antisubmarino
terrorista	antiterrorista
tetánico	antitetánico
teísta	antiteísta
toxina	antitoxina
tuberculoso	antituberculoso
virus	antivirus
ácido	antiácido
