accederemos	accederíamos
aceptaremos	aceptaríamos
actuaremos	actuaríamos
analizaremos	analizaríamos
apareceremos	apareceríamos
ayudaremos	ayudaríamos
añadiremos	añadiríamos
beberemos	beberíamos
cantaremos	cantaríamos
compraremos	compraríamos
conservaremos	conservaríamos
continuaremos	continuaríamos
coordinaremos	coordinaríamos
decidiremos	decidiríamos
defenderemos	defenderíamos
descargaremos	descargaríamos
ejecutaremos	ejecutaríamos
encontraremos	encontraríamos
enseñaremos	enseñaríamos
escucharemos	escucharíamos
esperaremos	esperaríamos
facilitaremos	facilitaríamos
fallaremos	fallaríamos
formularemos	formularíamos
gestionaremos	gestionaríamos
haremos	haríamos
implicaremos	implicaríamos
incorporaremos	incorporaríamos
incrementaremos	incrementaríamos
instalaremos	instalaríamos
introduciremos	introduciríamos
leeremos	leeríamos
localizaremos	localizaríamos
lograremos	lograríamos
mediremos	mediríamos
modificaremos	modificaríamos
ocurriremos	ocurriríamos
pondremos	pondríamos
prepararemos	prepararíamos
presentaremos	presentaríamos
quedaremos	quedaríamos
realizaremos	realizaríamos
recuperaremos	recuperaríamos
referiremos	referiríamos
respetaremos	respetaríamos
serviremos	serviríamos
venderemos	venderíamos
viajaremos	viajaríamos
viviremos	viviríamos
votaremos	votaríamos
