actuaré	actuarían
alcanzaré	alcanzarían
apareceré	aparecerían
aseguraré	asegurarían
averiguaré	averiguarían
cantaré	cantarían
casaré	casarían
compartiré	compartirían
comprobaré	comprobarían
concluiré	concluirían
construiré	construirían
contribuiré	contribuirían
controlaré	controlarían
cubriré	cubrirían
decidiré	decidirían
desarrollaré	desarrollarían
descargaré	descargarían
describiré	describirían
dirigiré	dirigirían
ejecutaré	ejecutarían
elaboraré	elaborarían
empezaré	empezarían
encontraré	encontrarían
enfrentaré	enfrentarían
enseñaré	enseñarían
entenderé	entenderían
entraré	entrarían
escaparé	escaparían
estableceré	establecerían
evaluaré	evaluarían
formularé	formularían
fortaleceré	fortalecerían
informaré	informarían
intentaré	intentarían
mediré	medirían
mejoraré	mejorarían
observaré	observarían
organizaré	organizarían
preguntaré	preguntarían
prestaré	prestarían
promoveré	promoverían
proveeré	proveerían
quedaré	quedarían
reconoceré	reconocerían
revisaré	revisarían
sacaré	sacarían
serviré	servirían
sobreviviré	sobrevivirían
soportaré	soportarían
sufriré	sufrirían
