ampliaréis	ampliarían
anunciaréis	anunciarían
apareceréis	aparecerían
apoyaréis	apoyarían
comenzaréis	comenzarían
confirmaréis	confirmarían
consistiréis	consistirían
daréis	darían
decidiréis	decidirían
definiréis	definirían
dependeréis	dependerían
destacaréis	destacarían
detendréis	detendrían
disfrutaréis	disfrutarían
elegiréis	elegirían
estudiaréis	estudiarían
evaluaréis	evaluarían
existiréis	existirían
exploraréis	explorarían
fallaréis	fallarían
financiaréis	financiarían
habréis	habrían
incluiréis	incluirían
incorporaréis	incorporarían
informaréis	informarían
iniciaréis	iniciarían
intentaréis	intentarían
investigaréis	investigarían
iréis	irían
limitaréis	limitarían
llegaréis	llegarían
miraréis	mirarían
moriréis	morirían
necesitaréis	necesitarían
obtendréis	obtendrían
pareceréis	parecerían
pediréis	pedirían
prepararéis	prepararían
prevendréis	prevendrían
probaréis	probarían
recordaréis	recordarían
requeriréis	requerirían
resolveréis	resolverían
romperéis	romperían
sentaréis	sentarían
señalaréis	señalarían
solicitaréis	solicitarían
trabajaréis	trabajarían
utilizaréis	utilizarían
venderéis	venderían
