accederéis	accedería
aceleraréis	aceleraría
alentaréis	alentaría
anunciaréis	anunciaría
aprenderéis	aprendería
aseguraréis	aseguraría
atenderéis	atendería
ayudaréis	ayudaría
caeréis	caería
conservaréis	conservaría
consolidaréis	consolidaría
contribuiréis	contribuiría
correréis	correría
cuidaréis	cuidaría
destacaréis	destacaría
detendréis	detendría
elegiréis	elegiría
explicaréis	explicaría
exploraréis	exploraría
expresaréis	expresaría
ganaréis	ganaría
gastaréis	gastaría
guardaréis	guardaría
implicaréis	implicaría
localizaréis	localizaría
lucharéis	lucharía
mantendréis	mantendría
moriréis	moriría
ofreceréis	ofrecería
oiréis	oiría
pararéis	pararía
permitiréis	permitiría
pondréis	pondría
preguntaréis	preguntaría
probaréis	probaría
recordaréis	recordaría
reemplazaréis	reemplazaría
reforzaréis	reforzaría
regresaréis	regresaría
respetaréis	respetaría
robaréis	robaría
sentaréis	sentaría
seréis	sería
serviréis	serviría
solicitaréis	solicitaría
soportaréis	soportaría
supervisaréis	supervisaría
tocaréis	tocaría
viajaréis	viajaría
viviréis	viviría
