abordarás	abordará
acelerarás	acelerará
administrarás	administrará
ampliarás	ampliará
aplicarás	aplicará
avanzarás	avanzará
añadirás	añadirá
buscarás	buscará
casarás	casará
comprenderás	comprenderá
confiarás	confiará
correrás	correrá
definirás	definirá
descargarás	descargará
desempeñarás	desempeñará
destacarás	destacará
detendrás	detendrá
ejecutarás	ejecutará
elegirás	elegirá
enviarás	enviará
escribirás	escribirá
estudiarás	estudiará
examinarás	examinará
explicarás	explicará
facilitarás	facilitará
financiarás	financiará
incluirás	incluirá
indicarás	indicará
iniciarás	iniciará
investigarás	investigará
involucrarás	involucrará
llamarás	llamará
manejarás	manejará
partirás	partirá
perderás	perderá
prepararás	preparará
prestarás	prestará
probarás	probará
producirás	producirá
propondrás	propondrá
proporcionarás	proporcionará
reemplazarás	reemplazará
respetarás	respetará
responderás	responderá
sentirás	sentirá
sumarás	sumará
supervisarás	supervisará
tocarás	tocará
verificarás	verificará
votarás	votará
