aceptarán	aceptaría
actuarán	actuaría
agradecerán	agradecería
asumirán	asumiría
atenderán	atendería
averiguarán	averiguaría
añadirán	añadiría
caminarán	caminaría
completarán	completaría
comprarán	compraría
conservarán	conservaría
consolidarán	consolidaría
construirán	construiría
coordinarán	coordinaría
cortarán	cortaría
crecerán	crecería
cuidarán	cuidaría
definirán	definiría
desarrollarán	desarrollaría
destruirán	destruiría
encontrarán	encontraría
escucharán	escucharía
evaluarán	evaluaría
existirán	existiría
expresarán	expresaría
facilitarán	facilitaría
ganarán	ganaría
habilitarán	habilitaría
identificarán	identificaría
imaginarán	imaginaría
informarán	informaría
intentarán	intentaría
introducirán	introduciría
llevarán	llevaría
manejarán	manejaría
mejorarán	mejoraría
prepararán	prepararía
prevendrán	prevendría
probarán	probaría
propondrán	propondría
reconocerán	reconocería
referirán	referiría
regresarán	regresaría
romperán	rompería
sabrán	sabría
supervisarán	supervisaría
traerán	traería
unirán	uniría
utilizarán	utilizaría
votarán	votaría
