administrando	administrarían
adquiriendo	adquirirían
alentando	alentarían
aplicando	aplicarían
asistiendo	asistirían
ayudando	ayudarían
completando	completarían
comprando	comprarían
concluyendo	concluirían
confirmando	confirmarían
contando	contarían
cubriendo	cubrirían
diciendo	dirían
dejando	dejarían
dependiendo	dependerían
discutiendo	discutirían
durmiendo	dormirían
enseñando	enseñarían
entendiendo	entenderían
entrando	entrarían
examinando	examinarían
fomentando	fomentarían
formando	formarían
formulando	formularían
garantizando	garantizarían
gestionando	gestionarían
habilitando	habilitarían
integrando	integrarían
investigando	investigarían
luchando	lucharían
midiendo	medirían
mirando	mirarían
observando	observarían
operando	operarían
organizando	organizarían
oyendo	oirían
pareciendo	parecerían
pasando	pasarían
previniendo	prevendrían
probando	probarían
recogiendo	recogerían
recordando	recordarían
respetando	respetarían
robando	robarían
sacando	sacarían
salvando	salvarían
solicitando	solicitarían
superando	superarían
viviendo	vivirían
votando	votarían
