acelerando	aceleramos
adoptando	adoptamos
agradeciendo	agradecimos
analizando	analizamos
averiguando	averiguamos
bebiendo	bebimos
combatiendo	combatimos
comiendo	comimos
completando	completamos
confiando	confiamos
consiguiendo	conseguimos
consultando	consultamos
diciendo	dijimos
descargando	descargamos
describiendo	describimos
destacando	destacamos
destruyendo	destruimos
determinando	determinamos
discutiendo	discutimos
eligiendo	elegimos
entrando	entramos
escapando	escapamos
escribiendo	escribimos
expresando	expresamos
fallando	fallamos
garantizando	garantizamos
imponiendo	impusimos
informando	informamos
invirtiendo	invertimos
limitando	limitamos
llamando	llamamos
manejando	manejamos
modificando	modificamos
observando	observamos
ofreciendo	ofrecimos
operando	operamos
organizando	organizamos
pagando	pagamos
partiendo	partimos
pidiendo	pedimos
preparando	preparamos
presentando	presentamos
regresando	regresamos
revisando	revisamos
salvando	salvamos
seleccionando	seleccionamos
solicitando	solicitamos
terminando	terminamos
viendo	vimos
viviendo	vivimos
