acordar	acordarían
actuar	actuarían
adquirir	adquirirían
alentar	alentarían
ampliar	ampliarían
aparecer	aparecerían
aplicar	aplicarían
caer	caerían
causar	causarían
compartir	compartirían
concluir	concluirían
considerar	considerarían
consistir	consistirían
contribuir	contribuirían
coordinar	coordinarían
creer	creerían
dar	darían
decir	dirían
definir	definirían
depender	dependerían
desarrollar	desarrollarían
destacar	destacarían
destruir	destruirían
dirigir	dirigirían
elaborar	elaborarían
elegir	elegirían
enviar	enviarían
evaluar	evaluarían
explicar	explicarían
fomentar	fomentarían
formular	formularían
funcionar	funcionarían
gastar	gastarían
generar	generarían
incrementar	incrementarían
indicar	indicarían
limitar	limitarían
localizar	localizarían
medir	medirían
necesitar	necesitarían
obtener	obtendrían
prestar	prestarían
proteger	protegerían
publicar	publicarían
revisar	revisarían
sentar	sentarían
sobrevivir	sobrevivirían
supervisar	supervisarían
tener	tendrían
tocar	tocarían
