aceptar	aceptará
adoptar	adoptará
alcanzar	alcanzará
analizar	analizará
aprobar	aprobará
asegurar	asegurará
atraer	atraerá
beber	beberá
caer	caerá
causar	causará
celebrar	celebrará
combatir	combatirá
cortar	cortará
crecer	crecerá
creer	creerá
decidir	decidirá
dejar	dejará
desarrollar	desarrollará
destruir	destruirá
detener	detendrá
dormir	dormirá
ejecutar	ejecutará
estar	estará
evadir	evadirá
garantizar	garantizará
hablar	hablará
hacer	hará
implicar	implicará
imponer	impondrá
incluir	incluirá
incrementar	incrementará
informar	informará
integrar	integrará
involucrar	involucrará
limpiar	limpiará
localizar	localizará
operar	operará
pedir	pedirá
perder	perderá
poner	pondrá
prestar	prestará
proponer	propondrá
reforzar	reforzará
salvar	salvará
satisfacer	satisfará
ser	será
solicitar	solicitará
terminar	terminará
traer	traerá
unir	unirá
