aceptar	acepta
acordar	acuerda
alentar	alienta
ampliar	amplía
analizar	analiza
anunciar	anuncia
aprovechar	aprovecha
asistir	asiste
beber	bebe
cambiar	cambia
casar	casa
continuar	continúa
crear	crea
describir	describe
descubrir	descubre
destacar	destaca
ejecutar	ejecuta
empezar	empieza
entender	entiende
esperar	espera
explorar	explora
fallar	falla
financiar	financia
firmar	firma
gestionar	gestiona
impedir	impide
implicar	implica
instalar	instala
introducir	introduce
jugar	juega
leer	lee
lograr	logra
matar	mata
modificar	modifica
mostrar	muestra
olvidar	olvida
oír	oye
parar	para
partir	parte
permanecer	permanece
producir	produce
recibir	recibe
reducir	reduce
relacionar	relaciona
requerir	requiere
sufrir	sufre
sumar	suma
viajar	viaja
visitar	visita
volar	vuela
