aceptado	aceptaríais
adquirido	adquiriríais
atendido	atenderíais
aumentado	aumentaríais
avanzado	avanzaríais
buscado	buscaríais
cerrado	cerraríais
combatido	combatiríais
compartido	compartiríais
controlado	controlaríais
creado	crearíais
cubierto	cubriríais
cumplido	cumpliríais
dejado	dejaríais
dirigido	dirigiríais
ejercido	ejerceríais
elegido,electo	elegiríais
encontrado	encontraríais
escapado	escaparíais
escrito	escribiríais
escuchado	escucharíais
evadido	evadiríais
firmado	firmaríais
formulado	formularíais
ganado	ganaríais
hecho	haríais
imaginado	imaginaríais
impedido	impediríais
implicado	implicaríais
impuesto	impondríais
incorporado	incorporaríais
invertido	invertiríais
ido	iríais
logrado	lograríais
matado	mataríais
mejorado	mejoraríais
operado	operaríais
parado	pararíais
partido	partiríais
pensado	pensaríais
proveído,provisto	proveeríais
realizado	realizaríais
revisado	revisaríais
servido	serviríais
tomado	tomaríais
traído	traeríais
unido	uniríais
usado	usaríais
visto	veríais
votado	votaríais
