abordado	abordaréis
actuado	actuaréis
adquirido	adquiriréis
agradecido	agradeceréis
apoyado	apoyaréis
averiguado	averiguaréis
añadido	añadiréis
bailado	bailaréis
buscado	buscaréis
caído	caeréis
cantado	cantaréis
casado	casaréis
causado	causaréis
comprado	compraréis
comprobado	comprobaréis
conservado	conservaréis
consolidado	consolidaréis
continuado	continuaréis
creído	creeréis
dejado	dejaréis
dependido	dependeréis
designado	designaréis
disfrutado	disfrutaréis
esperado	esperaréis
expresado	expresaréis
fomentado	fomentaréis
ganado	ganaréis
incorporado	incorporaréis
indicado	indicaréis
intentado	intentaréis
jugado	jugaréis
limitado	limitaréis
limpiado	limpiaréis
medido	mediréis
mencionado	mencionaréis
ofrecido	ofreceréis
pasado	pasaréis
pedido	pediréis
presentado	presentaréis
protegido	protegeréis
recordado	recordaréis
representado	representaréis
sobrevivido	sobreviviréis
tenido	tendréis
tratado	trataréis
unido	uniréis
usado	usaréis
verificado	verificaréis
vivido	viviréis
volado	volaréis
